obs_id,x1,x2,event,true_probability
BC001,2.101497557,0.23680093,0,0.848412838
BC002,-2.078530151,0.5220612396,0,0.04294123846
BC003,-1.450836819,0.6783029895,0,0.07319860786
BC004,0.8236590525,-0.3081908268,1,0.6797400899
BC005,0.7083270591,0.8230234399,0,0.4306354547
BC006,-1.413818311,-0.9342511602,0,0.2300906864
BC007,-2.075533566,0.1056723189,0,0.05909895247
BC008,0.6639824883,-1.385646079,1,0.8082838805
BC009,-1.58328741,-1.108762974,0,0.2219038761
BC010,-0.5721371777,0.8865835096,0,0.149488597
BC011,2.115868634,-0.4828388085,1,0.910007503
BC012,0.6420301347,1.31928634,0,0.3209965302
BC013,0.9706369483,-1.821492531,1,0.8932993667
BC014,1.115599668,0.842439236,1,0.5382273157
BC015,0.5355922058,-0.6915287027,1,0.6775148513
BC016,0.7081927496,1.044330014,0,0.3878278479
BC017,-0.5996352628,-1.110011667,0,0.4572075792
BC018,-1.290782346,0.8037736089,0,0.07850178563
BC019,-0.7334832813,-0.04479648282,0,0.2366752846
BC020,0.09976512897,-3.19881118,0,0.9062590942
BC021,0.162620462,-1.644094428,1,0.7491639008
BC022,0.006753959509,0.1775144917,0,0.3694487894
BC023,-0.2410420036,0.3174207635,0,0.285144814
BC024,0.5981973307,-0.1634932348,1,0.5959965959
BC025,-1.660594921,-0.1855468423,0,0.1112321171
BC026,0.5029698857,1.474597026,0,0.2637805473
BC027,-0.2777624041,1.116755428,0,0.1681293989
BC028,-0.07397478841,-0.8387960379,0,0.5472745099
BC029,-0.308915629,0.06871037721,0,0.3111441992
BC030,-1.558748736,0.6745610326,0,0.06572616798
BC031,-0.894305324,0.3167154116,0,0.1628589364
BC032,-0.2030432371,-1.016314368,0,0.5472842645
BC033,-0.4216875259,0.5875731099,0,0.2085125542
BC034,-0.5129372723,0.5278093532,0,0.1999705423
BC035,0.8720578143,1.65399395,0,0.3177932904
BC036,0.6548335043,0.2621979308,0,0.5276115082
BC037,-0.3876562136,0.5094946181,0,0.2254790377
BC038,0.5070965792,-0.5372433726,0,0.6428144997
BC039,-0.5862700465,-0.4289495312,1,0.3314271307
BC040,-0.6384066301,-1.126554537,0,0.4499175918
BC041,-0.1457070589,0.7586608098,0,0.2373603095
BC042,0.4091865227,-0.3531269869,1,0.5823935073
BC043,-1.0684925,-2.506733728,0,0.6058844696
BC044,-0.9272927966,-0.1564414058,0,0.2150298305
BC045,-0.08580907524,-0.1384992865,0,0.4052611919
BC046,0.4555821301,-1.615688175,1,0.8011808179
BC047,-0.3970098807,0.3789444117,0,0.2423448913
BC048,0.06614146698,-1.53126187,0,0.7104900155
BC049,1.109217541,-0.4718515584,1,0.7681012206
BC050,0.9462173303,0.7106290784,1,0.518076069
BC051,1.520521983,-0.6939547533,1,0.8614920358
BC052,-0.8567992833,1.992190506,0,0.05039129269
BC053,0.719750146,0.692665915,1,0.4594871161
BC054,-0.2429664681,0.4591614409,0,0.2621947664
BC055,0.9699992376,1.73351445,1,0.3274342953
BC056,-1.250722727,-0.6625459423,0,0.2234352704
BC057,0.2134390138,-0.4662553522,0,0.5517607002
BC058,1.159364053,-0.1285642198,1,0.7267413459
BC059,1.807894068,-0.6173227246,1,0.889194704
BC060,0.212435968,0.03852178347,1,0.4508745299
BC061,-0.2083780794,-0.1358186683,1,0.3727210735
BC062,0.7832727746,0.09921521004,1,0.5944103289
BC063,-0.4706505309,0.259105423,0,0.2450850275
BC064,2.672026107,0.9353566577,1,0.8570429001
BC065,0.1080562627,1.108733572,1,0.2371940723
BC066,0.6270659198,0.2677408197,0,0.5188859747
BC067,1.359309306,-0.07752583934,1,0.7608346514
BC068,0.8571052376,-1.687190826,1,0.8690481031
BC069,0.5913901492,0.283933104,1,0.5058454039
BC070,-0.5154255829,0.2006473787,0,0.2446253409
BC071,-0.03923320467,0.5776870977,0,0.2879612927
BC072,0.2835389262,-0.1275468369,0,0.5034825158
BC073,1.051286698,0.0003299185988,1,0.6805175856
BC074,-1.67121355,0.4525453122,0,0.06911453729
BC075,-0.6257240663,-2.243302921,0,0.6695932271
BC076,-0.4724363847,-1.743062222,0,0.6165120702
BC077,1.099156987,0.3361974662,0,0.6318391025
BC078,-0.4463376062,-0.08807235047,1,0.3056546718
BC079,0.5410801568,-0.2462209994,1,0.5968037634
BC080,-0.4032911411,0.7383540451,0,0.1924290359
BC081,0.6868208719,0.6707369361,1,0.4548516619
BC082,-0.7928393359,0.6712368104,0,0.140745396
BC083,-1.697057005,1.087967702,0,0.04160112403
BC084,-0.2366513003,-0.3646834177,0,0.4088866786
BC085,-0.1151435273,-0.1443775672,0,0.3986350081
BC086,-0.7702008614,-0.5846457091,0,0.3144267133
BC087,-1.68657492,-0.1314570605,0,0.1043249845
BC088,-0.1387668824,0.2638300495,0,0.3178418457
BC089,-0.7990349215,0.9465757622,0,0.1154543384
BC090,-1.046788054,-1.555801458,0,0.4238897395
BC091,0.808690063,1.157082087,0,0.3926690786
BC092,0.2355263751,0.073864054,1,0.4501629754
BC093,-0.02457693488,-0.08773437181,0,0.4117230003
BC094,1.886180314,-1.100170333,1,0.9279043275
BC095,0.6176181885,1.11305508,0,0.3518165105
BC096,-0.6952710195,0.295631527,1,0.197609372
BC097,-0.5210962933,-1.049307783,0,0.4666098449
BC098,-1.007991953,-0.2711451851,0,0.2155356166
BC099,2.049429957,2.250740803,1,0.513441838
BC100,0.5634257863,0.3886730826,1,0.4772232492
BC101,0.3655225735,-0.005075089765,1,0.5015337208
BC102,1.592729524,-0.003850193898,1,0.794959334
BC103,0.6163817625,-1.370594254,0,0.7981054728
BC104,-0.5101108761,-0.5362224322,1,0.3700169689
BC105,-0.4920296423,-0.1350735712,0,0.302974416
BC106,-1.21370907,-0.1493215946,0,0.1658094382
BC107,0.1092857026,-2.723440445,1,0.8697745237
BC108,0.5493312693,-0.9386042786,1,0.7221492667
BC109,1.133221678,0.2284686789,0,0.6601065112
BC110,-0.8417396173,0.6376419603,0,0.1375218327
BC111,-0.6154547803,-0.5914379959,1,0.3534634008
BC112,1.999934412,-0.2732859232,1,0.8827316752
BC113,3.201475866,-0.5552933541,1,0.9725046548
BC114,0.6437639878,0.3307024756,1,0.5108928777
BC115,-0.05532300258,-0.5128060844,0,0.4873500912
BC116,1.446577028,0.134236168,1,0.7472210744
BC117,0.8300206793,-0.1400222645,1,0.6513640752
BC118,0.275149742,0.4836962968,0,0.3812390696
BC119,0.1928346422,-0.09632941432,0,0.4723237274
BC120,0.8558335519,-1.136020928,1,0.8100343902
BC121,0.7896582588,-0.4325341217,1,0.6930997989
BC122,0.4089824106,0.7113320917,0,0.3730428226
BC123,0.5391193504,0.2062594485,0,0.5070054732
BC124,-0.3716051039,0.2260597605,1,0.2709884407
BC125,1.822678964,-0.53350567,1,0.884090672
BC126,-1.466792402,-0.2538573614,0,0.1405915105
BC127,-0.1706870391,-0.8012364655,1,0.5133052155
BC128,0.2265404019,-1.24926598,1,0.7002748948
BC129,0.1828160858,0.9977940987,0,0.2695045785
BC130,-0.8628825464,0.6948570655,0,0.1295372532
BC131,-0.4566381211,-0.9041555009,0,0.4553746767
BC132,-0.1964140524,-0.6820075234,1,0.482394921
BC133,0.6812316089,-0.3002312181,1,0.6432595347
BC134,-0.4791545026,-2.024773216,1,0.6665780918
BC135,0.08524702288,0.5009359503,1,0.3302671487
BC136,0.4042248051,-0.1795807837,0,0.5469393489
BC137,1.075036586,0.2139956519,1,0.6482472625
BC138,0.1512136806,0.4287821387,0,0.3596944272
BC139,-1.699880985,1.57801803,0,0.02840749381
BC140,1.770106025,-0.1125321716,1,0.8371457233
BC141,-1.336495483,0.02354704598,0,0.1313605085
BC142,-1.937515278,1.923857421,0,0.01678482573
BC143,-0.2657983618,-0.1584457639,0,0.3622477334
BC144,1.493426958,0.6526450926,1,0.6727509236
BC145,0.5471093741,2.656065542,0,0.1275238267
BC146,1.131676466,0.5497221497,1,0.5999043046
BC147,-0.2341684176,-0.221768204,0,0.3822118186
BC148,-0.4318113028,-0.2410058283,1,0.3357731899
BC149,1.126566671,-0.3519640739,1,0.7541360762
BC150,-0.336166532,0.4005639754,0,0.2515741484
BC151,-1.494406328,-0.2977333928,0,0.1411634426
BC152,1.19036381,0.3860277827,1,0.6457885244
BC153,-2.100074651,-0.2449620117,0,0.07487474373
BC154,-0.8181493692,-0.04371451077,0,0.2201156246
BC155,1.084780309,-0.6827602323,1,0.7924021981
BC156,0.542894273,0.9785328331,0,0.3576352754
BC157,0.02724571747,-0.07922092448,0,0.4239319202
BC158,0.6677605919,0.196066613,1,0.544304339
BC159,-0.9816909782,0.8450647731,0,0.1037800698
BC160,0.1941171232,0.3415830856,0,0.3870480665
BC161,0.553694955,-0.125063185,0,0.5766692276
BC162,0.8214359424,0.6517448257,1,0.4955460368
BC163,-0.3177598189,-0.4489865546,1,0.4036338769
BC164,-1.561478409,-0.3219916499,0,0.1346992137
BC165,0.5751166161,-0.5937012038,0,0.6698682515
BC166,-1.484815728,0.167174705,0,0.102749872
BC167,-0.7290508803,0.5825460693,0,0.1586919711
BC168,-0.2430264578,-0.7228790722,0,0.4777582266
BC169,0.5824244197,0.1968446693,1,0.5207857951
BC170,-0.36134511,1.123992141,0,0.1549002464
BC171,-0.4017132662,0.1752589967,0,0.272476924
BC172,-0.1522239883,-0.8669766044,1,0.531491982
BC173,0.3619957935,-0.1621897087,0,0.5319432197
BC174,1.082928867,-0.6444714105,1,0.786977
BC175,-2.076996996,0.3949344932,0,0.04739677479
BC176,-1.727496155,0.7802132112,0,0.05095969032
BC177,-0.5801030053,0.02733139049,0,0.257313579
BC178,-1.958749835,-0.04120391754,0,0.0743534987
BC179,-1.64760404,-0.8645815255,0,0.1793585782
BC180,-0.3135367516,0.8260973661,0,0.1969023615
BC181,1.108817253,0.3571009659,1,0.630419806
BC182,-0.8151845408,2.405497892,0,0.03837931955
BC183,0.327166999,0.7916211421,0,0.3377329867
BC184,-0.1607673769,-0.4426514676,1,0.4445483014
BC185,1.172829423,-0.067715027,1,0.7199642706
BC186,-0.2101317563,0.07017812017,0,0.3346367698
BC187,0.2683116032,0.9920165064,0,0.2893649235
BC188,-0.723293197,-0.1732039655,0,0.2578718188
BC189,-0.6416853921,-1.050363714,1,0.4339967044
BC190,-1.295151371,0.9503988125,0,0.07011099773
BC191,0.9195575997,-0.2432856189,1,0.6912867482
BC192,-1.027247107,-0.0187295818,1,0.1802007254
BC193,0.7227887212,-0.1925398368,1,0.6339266343
BC194,-0.04139976266,0.09430412603,0,0.3726223949
BC195,1.121366711,-1.511296343,1,0.8851917006
BC196,-0.8717219872,0.5179218679,0,0.1451408981
BC197,1.460588594,0.3972515481,1,0.7086520146
BC198,0.8408960567,-0.4443486058,1,0.7069184774
BC199,-0.8095152106,0.171445577,1,0.1934692884
BC200,-0.2128085764,0.3667628853,0,0.2834322378
BC201,0.1597065249,-0.006528644557,0,0.4454430981
BC202,-0.2600809212,0.5289780553,1,0.2480067363
BC203,0.2638647688,-0.1140836617,0,0.4953796753
BC204,-1.396068851,1.550562616,0,0.04007410093
BC205,0.1616915334,-0.5020238879,1,0.5447498864
BC206,-0.07797888857,-0.876083706,0,0.5535661913
BC207,1.14616915,-0.3256475876,1,0.75423054
BC208,-1.079333054,1.503438008,0,0.05786604123
BC209,-1.626287157,-2.51189432,1,0.4552697999
BC210,-1.173355618,0.9815542346,0,0.07756257101
BC211,0.7575184241,0.8614603342,0,0.4363723365
BC212,1.787038834,1.364198556,0,0.6164208342
BC213,-0.2512308276,-0.3154118828,0,0.3955541477
BC214,-0.5413622783,-0.4040339961,1,0.3379884434
BC215,-1.301909787,1.035460559,0,0.06534666975
BC216,1.039298288,0.07085679834,1,0.6651973876
BC217,0.3585689614,0.4943920659,1,0.4010510135
BC218,0.9299057602,-1.033742146,1,0.8099815125
BC219,2.346700956,-1.540013628,1,0.9681201469
BC220,0.03955364875,-0.2326708209,0,0.4575141151
BC221,0.8643714576,0.6201111722,1,0.513676504
BC222,0.8643283717,1.032619789,1,0.4315979247
BC223,0.1323916376,2.460147991,0,0.09774919333
BC224,-0.3615613304,0.2519586529,0,0.2690821429
BC225,-0.4430644184,0.4279434096,0,0.2262294579
BC226,-0.3008481115,-0.5561685979,1,0.4289838932
BC227,0.6935295485,-1.61773187,1,0.8398440241
BC228,0.09958655608,0.6805341766,1,0.3026137602
BC229,0.2317843047,-1.762005468,0,0.7798113083
BC230,1.267225196,-0.07506157596,1,0.7415416895
BC231,-0.0779737978,0.6991783459,0,0.2601644782
BC232,0.3720281173,0.4401445958,1,0.415108908
BC233,-0.602476908,0.116981786,1,0.2393384188
BC234,-0.7731834384,-0.8790763548,0,0.3665048247
BC235,-1.042315939,0.1679267664,0,0.1569777936
BC236,-0.5970045197,-0.3062733569,0,0.3075312748
BC237,1.447535564,0.4946022607,1,0.6892482849
BC238,-1.550194794,1.723859517,0,0.02976220512
BC239,1.766794879,-0.7176404427,1,0.8926008006
BC240,-0.5788437756,-0.8521611175,0,0.412170641
BC241,-1.264758405,-1.093176423,0,0.2856321754
BC242,0.3406036225,-1.312955932,1,0.735950977
BC243,0.4541003739,0.1615795418,1,0.4925622432
BC244,-0.7051718787,1.105126797,1,0.1130668372
BC245,1.203893163,-0.08246380556,1,0.7291379951
BC246,0.5447224412,0.9178801398,1,0.3693259859
BC247,0.4386849988,1.402488493,0,0.2612585827
BC248,0.2717469149,-0.8370469325,0,0.6384306406
BC249,0.06862981072,0.9074811811,1,0.2591306051
BC250,-0.8099587951,0.09243373332,0,0.2034448087
BC251,0.8223286072,2.682943674,0,0.1622211724
BC252,0.1970105968,-0.4834905451,1,0.550701166
BC253,2.59244023,0.8900539331,0,0.8506414736
BC254,0.9561583987,1.376251341,0,0.3895446088
BC255,-0.7943321883,0.8978758158,0,0.1200384548
BC256,-0.9957057077,-1.106885299,1,0.3521121131
BC257,2.65737068,-1.101419811,1,0.9678368953
BC258,-1.613518366,-0.4762636818,1,0.1426002187
BC259,0.5160411768,1.095753404,1,0.3298292513
BC260,-0.839864133,-0.9962939746,0,0.371259959
BC261,-0.5076862803,1.808911351,0,0.08274787932
BC262,1.107455967,-1.343208091,1,0.8690708183
BC263,0.7726708563,-0.6433794942,1,0.7240501551
BC264,-0.7445234064,-1.340126028,1,0.4633471355
BC265,0.6169862533,-1.269530419,0,0.7848756752
BC266,0.5635808772,-1.072618452,1,0.746121704
BC267,-1.738099522,0.6307713835,0,0.05643761679
BC268,0.4721879741,-0.3880751254,0,0.6058418782
BC269,0.5452715954,0.6509840236,0,0.4204348705
BC270,-0.2459628501,0.3878903576,0,0.2727189089
