id,x1,x2,mu_truth,sigma_truth,y
DL0001,-1.921226061,-0.3450720231,1.497766965,0.595820691,0.8458715759
DL0002,1.276857286,0.2445758336,4.722260037,0.5798343114,4.587869505
DL0003,1.819257393,1.030188178,4.400723998,0.6774663307,4.123639043
DL0004,1.494874027,1.074125114,4.827979173,0.6190773249,5.499555356
DL0005,-1.255020001,-0.7100987983,1.169190888,0.4759036001,0.9231888906
DL0006,-0.9311652643,1.155725628,2.493160994,0.5176097476,3.028568149
DL0007,-1.388235908,-0.3386212435,1.106666445,0.4998824634,1.408051192
DL0008,-1.559056757,0.04000172467,1.303140319,0.6306302162,1.089079437
DL0009,-1.547675282,0.13946563,1.359570851,0.6285815507,1.383095891
DL0010,0.5395341612,-0.594629565,4.39242445,0.347116149,4.280861308
DL0011,-0.8095123919,-0.1640239487,1.482091841,0.3957122305,2.106051717
DL0012,0.1693514286,1.611439585,4.695977207,0.3804832572,4.303598195
DL0013,-1.505858838,-1.463517406,1.656680868,0.5210545908,1.823668526
DL0014,-1.282607036,1.032130934,2.25015078,0.5808692664,2.088904562
DL0015,2.126698768,1.111770827,3.853061188,0.7328057782,3.548921396
DL0016,-0.2628468403,0.1607702186,2.470624252,0.3973124312,1.837608792
DL0017,0.4490004086,0.6494197325,4.053496116,0.4308200736,3.776045073
DL0018,-1.111746797,-0.4271587454,1.184332485,0.4501144234,1.214044235
DL0019,-1.804800063,1.16721063,2.995909126,0.6748640114,2.562476054
DL0020,2.042110696,0.3444918084,3.966286961,0.7175799252,4.646156832
DL0021,-0.9019287635,-1.041820355,1.678604185,0.4123471774,1.922182956
DL0022,-1.496903932,1.441039971,3.142679298,0.6194427077,2.676190022
DL0023,0.35461115,0.3817557589,3.775826381,0.413830007,3.341629492
DL0024,-2.185919896,-0.4076002902,1.887509757,0.6434655813,2.084341066
DL0025,-0.6045617651,-0.9776195097,2.124513525,0.3588211177,1.874809198
DL0026,1.994896067,0.5693682262,4.004698708,0.7090812921,4.414461195
DL0027,-0.9289805947,-1.672011896,2.377887304,0.417216507,2.876211761
DL0028,-2.168544043,-0.9478915032,1.850308181,0.6403379277,2.160429785
DL0029,-0.5012156626,-0.2018035985,1.968474525,0.3402188193,2.098727725
DL0030,2.096204555,0.3006853677,3.883971103,0.7273168198,4.420727388
DL0031,-1.391632003,-0.1750643282,1.140429899,0.5004937605,1.266553913
DL0032,-2.257123367,1.702485981,5.183759129,0.7562822061,5.421285255
DL0033,-2.227153978,1.37738542,4.303529387,0.750887716,4.397194331
DL0034,-0.6396159831,-0.6216719771,1.823531189,0.365130877,2.347775199
DL0035,-0.3310323698,-1.766438512,3.815133243,0.3095858266,3.691488807
DL0036,1.123040254,-0.7851769746,5.403071578,0.4521472457,5.451423634
DL0037,2.445487422,-0.7407206334,4.305723349,0.6901877359,5.282828008
DL0038,-0.3161811757,-0.09778859953,2.327754938,0.3069126116,2.218835197
DL0039,-0.04661795366,-0.7241046101,3.175923153,0.2583912317,3.681137641
DL0040,-1.741766362,-0.2388521319,1.323089686,0.5635179451,0.8589229371
DL0041,-1.921315079,-0.43459418,1.47607359,0.5958367142,0.4980507504
DL0042,0.1641877406,-0.63085498,3.607495906,0.2795537933,3.330818351
DL0043,-0.413754672,-0.6472147674,2.279221181,0.324475841,1.947526883
DL0044,-0.6694094142,-0.4120099995,1.701471065,0.3704936946,1.588043398
DL0045,-2.253836247,-0.4659414453,1.990067033,0.6556905244,1.895584433
DL0046,1.982282994,0.4242277902,4.048430185,0.7068109388,4.492105166
DL0047,-1.6143709,1.561886631,3.543741762,0.6405867619,2.279467372
DL0048,-1.88820412,-0.1308559369,1.54049823,0.5898767417,1.848391512
DL0049,0.5182709298,0.2534129622,4.038033779,0.4432887674,4.01414281
DL0050,-2.220793602,-1.51160301,2.255949792,0.6497428483,1.649325321
DL0051,-1.607382562,0.01553108678,1.323030687,0.6393288611,1.722413625
DL0052,1.223407696,-1.80127843,7.346340923,0.4702133853,8.226578165
DL0053,1.34442197,0.9516818223,4.848696229,0.5919959545,6.318209684
DL0054,-0.07718789,0.8014405445,3.208432806,0.3638938202,3.02584903
DL0055,2.431695472,-1.034800713,4.868719968,0.687705185,3.201894642
DL0056,1.642882652,-1.754729013,7.359920293,0.5457188774,6.815238683
DL0057,0.007738490474,-0.8400891777,3.407152661,0.2513929283,3.628786431
DL0058,1.821548253,-0.03978470401,4.496363221,0.5778786855,5.136852967
DL0059,1.976119985,0.9446878568,4.09081827,0.7057015974,2.916938989
DL0060,-2.04375577,-1.472853049,1.995062466,0.6178760387,2.865840864
