id,amplitude_truth,phase_truth,trend_truth,target,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
SEQ001,1.210731473,1.611773422,0.02645886166,0.2679079642,1.334765833,1.057839527,0.562229338,0.06799309841,-0.4386701269,-0.859155259,-1.040269634,-0.8490946384,-0.4714240585,0.3438634116,0.9425629087,1.264017187,1.518916294,1.311555348,0.881802811,0.2920587303,-0.3114040058,-0.6838049617,-0.8145220603,-0.4618160544,0.06320473868,0.6123472465,1.136490341,1.688673578
SEQ002,1.076882737,1.716668231,0.01934544626,0.07561492602,1.157826976,0.8727521552,0.4829343601,-0.05685149091,-0.6063367455,-0.8305615572,-0.9057794586,-0.7868751397,-0.07623925733,0.2353025915,0.9891507335,1.23595763,1.285879234,1.034756244,0.5983281481,0.01751583108,-0.3924336896,-0.5247482127,-0.6730112489,-0.4573583281,-0.04376699385,0.5546161379,1.079348502,1.513404668
SEQ003,1.443222118,-0.1246762624,0.02434049053,1.724105681,-0.2418468678,0.4795128196,1.11757479,1.714113352,1.387214478,0.8702195232,0.3490256164,-0.3174963647,-0.8700654648,-1.257513706,-1.048543134,-0.6910959699,0.09072625567,0.8806957583,1.486387032,1.851716022,1.703994466,1.291161072,0.5281530348,-0.04778334574,-0.7678372785,-0.9248876649,-0.7825727099,-0.2738698258
SEQ004,1.101687504,0.8847820363,0.02523799878,1.000728937,1.063681695,1.073260166,1.081597718,0.7423095308,0.23664096,-0.4122353873,-0.6883967883,-0.7755650509,-0.8739643434,-0.6366058213,0.1290325133,0.8496213701,1.250017351,1.379490942,1.427724917,0.9590430939,0.4341519507,0.05733018513,-0.4007259959,-0.6105819613,-0.5931817927,-0.3206573342,0.3382717619,0.8826452808
SEQ005,1.130565323,1.974947649,0.02101816843,-0.1923638998,1.274944792,0.8732668393,0.105693947,-0.4869707579,-0.7841112586,-0.9164569955,-1.071202497,-0.2584394219,-0.05330256785,0.6148606947,1.123115623,1.396458573,1.367568033,1.037855339,0.5147159764,-0.2230696246,-0.4742342381,-0.8170619888,-0.8015247957,-0.2476033236,0.3178897894,0.9348064547,1.349535887,1.566755009
SEQ006,0.8225717492,-1.300817208,0.02240565309,0.4882570275,-0.8875281247,-0.5638244687,-0.1095526185,0.3026384402,0.8487962681,0.8923885265,1.036231512,0.7299835428,0.4396158348,-0.04362108026,-0.3459073238,-0.5819365961,-0.505193438,-0.2624493906,0.000437038439,0.5215285987,1.023137823,1.215441158,1.374166602,0.9107945055,0.7000726127,0.3080535005,-0.2111915174,-0.2910486958
SEQ007,1.058759531,1.171157237,0.02749907112,0.7419372544,1.00380682,1.077824535,0.9281703512,0.4082353561,-0.112351907,-0.4901269869,-0.8035131406,-0.9306651611,-0.6421519176,-0.2176408029,0.4313463808,0.9588211313,1.286562955,1.369006401,1.122958529,0.8546310322,0.2442176628,-0.01676074535,-0.3401231569,-0.4943201268,-0.2897609793,0.1460294569,0.83283891,1.272624579
SEQ008,0.9404031696,-0.8180500311,0.01432283062,0.8147764763,-0.6904153782,-0.305201206,0.2247564455,0.6807178853,0.8441013838,0.987140632,0.7418962501,0.3819467491,-0.008268608695,-0.5806518733,-0.7235063922,-0.6486459963,-0.5978638557,-0.06131521331,0.4970522149,1.00337946,1.189969724,1.049885804,0.9076719573,0.6208522732,0.1867099231,-0.4052436753,-0.6185096219,-0.729223898
SEQ009,0.7242755072,-0.4845273507,0.0311353048,1.01453158,-0.3808881307,0.06235643051,0.4965308457,0.5976229704,0.9040338294,0.7746518171,0.5532919042,0.3075690109,-0.1584618843,-0.3566425503,-0.4602207336,-0.354959127,0.1043604008,0.4283268883,0.8105574496,1.16500608,1.234557079,1.246803525,0.9923550005,0.5049049493,0.303095641,-0.02186497277,-0.07733528528,0.1340846777
SEQ010,1.445919232,-2.497312365,0.01514859903,-0.9742758674,-0.7212171899,-1.151771858,-1.342124312,-1.038612454,-0.5223579661,0.3407070649,0.9276999163,1.509107939,1.741806315,1.273977539,0.6542320465,-0.001023238957,-0.8133741083,-1.079176699,-1.126570746,-0.9352956982,-0.1731765295,0.3923214558,1.022914803,1.537737263,1.806000256,1.563281293,0.9369164887,0.111349133
SEQ011,1.065042841,0.907567488,0.007751866724,0.7487313718,0.8534140158,1.142557065,0.9804804647,0.619659991,0.2624109954,-0.2873301393,-0.7582493338,-0.8890638575,-1.053134999,-0.5360798111,0.06171894785,0.3932252661,0.9369217609,1.12397319,1.223700867,0.8352152982,0.1674763434,-0.4146369863,-0.6634304152,-1.035058019,-0.9095324411,-0.5024121628,-0.01834424049,0.5094979202
SEQ012,0.9149397798,2.155205459,0.01218867658,-0.3585142624,0.9155013926,0.5098001269,-0.04418722373,-0.556659953,-0.7235297631,-0.7268977385,-0.5784890392,-0.4147268951,0.1385623207,0.7337266106,0.9059394533,0.9683247786,0.8999821621,0.6235327292,0.148442751,-0.2548461483,-0.5747521534,-0.7122288246,-0.5046351126,-0.1227090311,0.31756281,0.8082242528,1.10529405,1.164244513
SEQ013,0.9729488781,0.974395208,0.03273551037,0.9393008987,0.6476729553,0.9459250193,0.9182620811,0.7088561135,0.1406695691,-0.2620292091,-0.5387415065,-0.8036166729,-0.6474271735,-0.3721504233,0.2117654325,0.7165097224,1.020418246,1.50536347,1.377258708,0.9577681111,0.4927443942,0.1905000029,-0.3256365754,-0.3980547493,-0.3362108152,0.0372382473,0.7140954788,1.16515911
SEQ014,0.997565011,-0.7830813952,0.01636921597,0.9034478947,-0.7667034454,-0.1967409208,0.2660906759,0.8587968236,1.084167145,1.015472458,0.8593646391,0.3356057632,-0.07112645597,-0.4331601277,-0.8173171088,-0.8620876649,-0.6210193468,-0.07678842026,0.4803463485,0.9138263844,1.165033799,1.219924811,0.9908669247,0.5108032875,0.006095267369,-0.3898909695,-0.5575807528,-0.5100728706
SEQ015,1.212509362,-2.888837395,0.0136362215,-1.010349745,-0.3657381915,-0.9140149343,-1.167347901,-1.093052083,-0.8207125938,-0.2067004318,0.3795704868,1.005980978,1.291005556,1.385522762,0.9029716445,0.3645597393,-0.1928957571,-0.725929208,-0.9192670882,-0.8520301409,-0.6014647973,-0.09374321652,0.4721419637,0.9913170907,1.457439161,1.416556928,1.200824534,0.5391620807
SEQ016,0.7071328497,0.6335542074,0.02434075086,0.8619875034,0.3844747733,0.6483327577,0.799825852,0.5846523045,0.4643592724,0.0009845748144,-0.2786513202,-0.5389455376,-0.4712280544,-0.3944066742,-0.02129623384,0.2368389305,0.6325910809,1.081317195,0.88686172,0.8335251783,0.4720730842,0.2896302199,0.09809566991,-0.1079957348,-0.1982222012,-0.167860014,0.2559369327,0.7493544881
SEQ017,1.424951296,0.5150520769,0.02558254263,1.547078702,0.7387106613,1.280674943,1.464897307,1.237196075,0.8063511238,0.18528239,-0.4276456118,-0.9660030257,-1.227032634,-0.9797161808,-0.5090822406,0.2635737412,1.080894876,1.608055095,1.842196184,1.600707039,1.111382865,0.5503392082,-0.1897944083,-0.6825141555,-0.8963998998,-0.8201829327,-0.2545813052,0.5562728709
SEQ018,1.280690373,-2.472041671,0.0313495464,-0.6279953031,-0.8338729115,-1.041044561,-1.374143678,-0.8674857833,-0.415783884,0.3355157081,0.930232576,1.442874805,1.537423656,1.327769563,0.6477283459,0.03884610526,-0.4126123251,-0.8787066594,-0.7114814485,-0.4799165571,0.1352773374,0.7056181135,1.363434773,1.808371436,1.778249159,1.80869502,1.246550829,0.6013937617
SEQ019,1.092872031,0.523828113,0.004570777535,1.001178929,0.5616245295,1.00683422,1.098329333,1.037653549,0.6115231636,0.08431653318,-0.5012182177,-0.7725483286,-0.9747929858,-0.7249492061,-0.5773538811,0.00464260503,0.5585870478,0.9972611202,1.277320669,1.128482866,0.5827380734,0.01314258081,-0.4159057592,-0.8624532894,-1.004709067,-0.734937894,-0.5055030582,0.1781785737
SEQ020,0.8067577129,1.521371897,0.02777369579,0.3731416581,0.7682071886,0.6659976708,0.4549030308,0.2413105844,-0.2453184091,-0.6289704335,-0.5273871332,-0.3824695649,-0.2797996109,0.2063817287,0.6715427082,1.028546714,1.163166665,1.083401429,0.9009599765,0.4088293404,-0.03754102951,-0.1554621807,-0.225348757,-0.2424183592,0.1335406921,0.5871416319,0.9064044434,1.305361522
SEQ021,0.7734156816,-1.653613176,0.01918350263,0.1662233744,-0.7363538343,-0.6070149659,-0.3561492286,0.1240964346,0.3068874199,0.7659878881,0.9233426563,0.8851162092,0.7228916346,0.2512757509,-0.1107671016,-0.2708956162,-0.5981506489,-0.5026547114,-0.1646182051,0.229895045,0.6587529183,1.070421849,1.114985558,1.00746029,0.8219401368,0.5194939736,-0.04418670119,-0.3275015197
SEQ022,1.176930406,0.4094009394,0.009191826434,1.189970146,0.3571437344,0.8449540005,1.143249095,0.9705997764,0.6497276003,0.05118855839,-0.3511338605,-0.8014559301,-1.103261781,-1.042547337,-0.7070966051,0.002713302567,0.5421439265,0.9680114334,1.283331161,1.256837788,0.800811214,0.4145142095,-0.3780958529,-0.7208570969,-0.9051345728,-0.8571724024,-0.5532022232,-0.00840358401
SEQ023,0.7717019899,-1.593514668,0.02168750096,0.2427197308,-0.9250579735,-0.4777696934,-0.5065159593,0.06612899674,0.4566246046,0.8738601952,1.042548932,0.865174792,0.5879493548,0.1842743939,-0.1219006842,-0.3560478132,-0.6473355757,-0.3893013334,-0.04269736235,0.3281561584,0.6803221075,1.047510278,1.208253066,1.139817502,0.8586312172,0.5107350887,0.02665944785,-0.1769989179
