field,obs_id,season,nitrogen,soil_n,yield
F01,F01_P01,dry,180,2.081506002,71.35795532
F01,F01_P02,dry,0,2.165774723,48.72289461
F01,F01_P03,dry,0,1.82559582,48.99382175
F01,F01_P04,dry,120,2.052877705,63.46570187
F01,F01_P05,dry,180,1.601466587,66.28019243
F01,F01_P06,dry,60,2.782917467,56.16760997
F01,F01_P07,dry,120,1.997209353,57.65702591
F01,F01_P08,dry,60,1.817054327,49.61325585
F02,F02_P01,dry,120,2.973145824,75.1669737
F02,F02_P02,dry,0,2.146551281,51.83497176
F02,F02_P03,dry,0,2.255720012,57.08202477
F02,F02_P04,dry,60,1.753554261,57.62047376
F02,F02_P05,dry,60,2.150522384,57.93909366
F02,F02_P06,dry,0,1.73324785,50.11618111
F02,F02_P07,dry,60,1.22788934,57.63535417
F02,F02_P08,dry,120,2.285034201,73.95296408
F03,F03_P01,wet,0,1.799278404,59.56693505
F03,F03_P02,wet,180,2.678826074,93.75163394
F03,F03_P03,wet,0,1.885738617,58.29753027
F03,F03_P04,wet,0,1.588081252,58.24980462
F03,F03_P05,wet,120,2.359073455,83.51314888
F03,F03_P06,wet,0,2.801642073,59.69946535
F03,F03_P07,wet,60,1.802745828,69.17299768
F03,F03_P08,wet,180,1.928702225,83.17116238
F04,F04_P01,wet,180,1.979821424,79.63307301
F04,F04_P02,wet,180,2.481609032,76.75203835
F04,F04_P03,wet,0,1.212724742,56.67730471
F04,F04_P04,wet,0,1.607444542,55.33835834
F04,F04_P05,wet,180,2.824922424,80.02100933
F04,F04_P06,wet,0,2.060817177,57.61320696
F04,F04_P07,wet,120,2.388317667,68.25162669
F04,F04_P08,wet,120,3.01600584,68.94168471
F05,F05_P01,dry,0,2.168042536,56.42256553
F05,F05_P02,dry,60,2.075032739,55.29990186
F05,F05_P03,dry,60,1.921314902,57.86071491
F05,F05_P04,dry,0,2.382675034,50.19401472
F05,F05_P05,dry,0,1.610820302,47.2570975
F05,F05_P06,dry,0,1.747433585,50.06680818
F05,F05_P07,dry,120,1.75975702,62.88928594
F05,F05_P08,dry,60,2.358176764,56.86221602
F06,F06_P01,wet,0,2.137819919,52.90786613
F06,F06_P02,wet,120,2.064047749,65.6896659
F06,F06_P03,wet,120,1.827935216,67.64482394
F06,F06_P04,wet,0,2.106821899,56.46526553
F06,F06_P05,wet,180,1.877883883,70.23522533
F06,F06_P06,wet,0,2.164652953,53.60677474
F06,F06_P07,wet,120,2.133946411,66.54394358
F06,F06_P08,wet,120,2.446116735,67.52347792
F07,F07_P01,dry,180,2.059265938,64.47023483
F07,F07_P02,dry,60,2.11431779,52.10193123
F07,F07_P03,dry,180,1.663159308,59.59256708
F07,F07_P04,dry,60,2.08658434,48.93840329
F07,F07_P05,dry,120,2.619788568,63.92582157
F07,F07_P06,dry,60,2.651923427,54.5440493
F07,F07_P07,dry,120,1.558393617,53.00955619
