obs_id,soil_moisture,leaf_temp_c,chlorophyll_index,fv_fm,stomatal_conductance,ndvi,stress_class
MM0001,0.218974760344,26.3753935501,48.7497789969,0.828250256858,0.37086520647,0.791393954416,low
MM0002,0.257463520791,24.9282859833,55.4636595788,0.808396690639,0.522844158317,0.861617661481,low
MM0003,0.279054241451,28.0045632657,44.5420959392,0.821820732115,0.342667392279,0.739694310923,moderate
MM0004,0.242860800673,30.5763230842,40.5340803709,0.766309680562,0.223097483735,0.676828338564,high
MM0005,0.270538983268,26.0336969441,50.9172218224,0.824497721574,0.440229478125,0.79326091825,low
MM0006,0.224898087489,24.7622375889,51.6983459124,0.814957064608,0.498499558706,0.806364993276,low
MM0007,0.228385430086,27.8705568688,46.5158524936,0.816513617859,0.42590858027,0.780243211941,moderate
MM0008,0.127916980839,28.4383300123,44.0942623475,0.76809927169,0.346267253584,0.723845555295,moderate
MM0009,0.284840038902,27.8094814471,50.863227986,0.843366578105,0.421652974915,0.77760611978,low
MM0010,0.18150326417,32.0653092771,36.3140898595,0.731096432911,0.125570898792,0.643027730228,high
MM0011,0.281211868461,28.8137778994,41.8190895927,0.783468959397,0.307342699243,0.701913533735,high
MM0012,0.354466052044,22.814923309,62.772713151,0.839226381191,0.690037026411,0.909510953161,low
MM0013,0.194273121483,23.7122130318,59.2841669076,0.811095175256,0.690548140231,0.872037492696,low
MM0014,0.277766306042,25.836534246,51.201024359,0.817320573103,0.532706433521,0.817873824607,low
MM0015,0.314313675858,25.1693530994,54.1842445724,0.814401280867,0.599061699894,0.875347492399,low
MM0016,0.173351565453,29.4768057687,44.362432063,0.788956739333,0.308586614747,0.74941281295,moderate
MM0017,0.343938223052,25.752801645,54.705680378,0.839654833978,0.638137121524,0.858934494399,low
MM0018,0.243894684697,27.9841885323,46.8849940546,0.798941050231,0.364253638239,0.772073298752,low
MM0019,0.371105260287,28.6816788898,46.0711512825,0.791048506254,0.318329889976,0.742556588479,moderate
MM0020,0.354160737709,26.5651768576,51.7401800363,0.789561507407,0.487652396463,0.798420000024,low
MM0021,0.37099348988,26.5439966076,50.574897611,0.82931032915,0.435743944849,0.789288775115,low
MM0022,0.331884485637,23.4419218576,55.2307974678,0.841882253316,0.612733716236,0.838172946528,low
MM0023,0.359363843164,24.5855701391,55.5328623711,0.821822184282,0.502669065563,0.844647733053,low
MM0024,0.337265940455,25.5417039966,52.9120361979,0.848909103488,0.537621736926,0.859169777196,low
MM0025,0.23800570056,23.6765934511,53.6453933031,0.851733391133,0.563687852815,0.843273539904,low
MM0026,0.193080885649,29.8795781411,41.9912634197,0.753889212674,0.165774242881,0.675097750796,high
MM0027,0.350147555668,32.0451697036,38.0149570075,0.725314657492,0.121196271553,0.642642031452,high
MM0028,0.121802956732,27.8786929016,43.8341451243,0.795110853107,0.317992366981,0.753608630166,moderate
MM0029,0.187275738811,31.643617642,35.5087271721,0.739471577699,0.194685164843,0.659699465572,high
MM0030,0.185332511168,20.3854742781,65.7312310029,0.792428969652,0.750165687666,0.952748013041,low
MM0031,0.241784001794,24.9425681576,53.5136353819,0.811329066887,0.530213088166,0.778484130753,low
MM0032,0.229939823059,27.0039152352,46.1018270747,0.813744743358,0.41371543916,0.783804440636,low
MM0033,0.242109511746,27.9246217762,43.9126603332,0.806151272171,0.371585265083,0.722921815047,moderate
MM0034,0.374677574107,25.7433137161,51.8780774713,0.801837531351,0.556942963638,0.798205603038,low
MM0035,0.23982687742,27.2134460286,49.9265208453,0.822442519402,0.441839856898,0.769410468357,low
MM0036,0.317222726916,24.9470857095,56.4836519489,0.830660184762,0.522896377819,0.864581573715,low
MM0037,0.370677057607,26.7617639308,47.5754581402,0.835524007642,0.469973551945,0.750542201646,low
MM0038,0.196103790624,29.6312193864,39.849811881,0.730667616679,0.22001397912,0.693159164319,high
MM0039,0.125904454649,28.5711657287,44.7519032704,0.793044191145,0.307728361321,0.740521927785,moderate
MM0040,0.21632715676,27.1243772884,46.9705685501,0.798343271155,0.384903493158,0.802060413214,low
MM0041,0.249227563994,27.2884605831,45.7259170509,0.799957997197,0.335405973188,0.722007130398,moderate
MM0042,0.238617065769,27.1039108675,45.0317017987,0.819772139929,0.440236317843,0.801459433367,low
MM0043,0.346713413132,28.0609435679,54.515496208,0.833007517092,0.467775803475,0.771205382592,low
MM0044,0.329926211003,26.9124660378,44.8213447321,0.788368671849,0.488356422286,0.768317150799,low
MM0045,0.162714192714,30.6438515945,37.3355426496,0.772685055122,0.197996866881,0.691542821468,high
MM0046,0.254062661522,32.9756217251,35.7743802661,0.703680635807,0.0957882164076,0.584289606635,high
MM0047,0.358510163666,26.2347550556,49.8848950838,0.820353948635,0.431794200603,0.817930148758,low
MM0048,0.373017017,24.8979812069,55.4911407313,0.824923075302,0.584605437716,0.860832947767,low
MM0049,0.123887149738,25.0585318822,52.3392953136,0.8279835112,0.52914353138,0.838698611153,low
MM0050,0.136306522143,28.8827163552,41.6583349397,0.763194123792,0.277855308892,0.740629397556,high
MM0051,0.249466058449,28.8297190327,42.0419799924,0.801706284593,0.341222134191,0.738443882636,moderate
MM0052,0.138737422039,26.8453369504,49.3299964367,0.825860386085,0.457459251965,0.780738402001,low
MM0053,0.14568902174,25.2064105821,52.1793969618,0.835491841716,0.538227917802,0.82803228344,low
MM0054,0.27709549137,25.3686117954,48.8371853717,0.84406601166,0.610176138291,0.802390942654,low
MM0055,0.139953906858,29.2532229558,42.908937004,0.782973423354,0.305086864169,0.686357241915,moderate
MM0056,0.179722318657,27.8864409901,45.6069100837,0.804344140846,0.509061218194,0.795022335513,low
MM0057,0.334478189261,27.6095473394,44.7953204739,0.801364469838,0.440884317384,0.764990812682,low
MM0058,0.229966893805,27.5395314417,47.1973051456,0.820313189163,0.410549330533,0.752030328048,moderate
MM0059,0.280113844717,28.4514536141,39.254196221,0.779735942827,0.271637976642,0.682970373518,high
MM0060,0.140690748545,29.8934343294,43.4399500176,0.772986262042,0.269896928199,0.716797983267,high
MM0061,0.358286611463,28.7083111671,42.0321335085,0.812763837928,0.280815476576,0.745191198817,moderate
MM0062,0.303969710966,25.8270880288,52.9751728945,0.811047326406,0.442526720385,0.839406222721,low
MM0063,0.203219210026,28.0715913994,47.2490999377,0.779736640277,0.378351699094,0.758526909616,moderate
MM0064,0.287219651156,24.3943907085,56.8620753383,0.820727100277,0.569252596412,0.867642409482,low
MM0065,0.349665066954,24.507969757,52.2377017058,0.805968417241,0.516439345066,0.876066502704,low
MM0066,0.223944166641,27.3022729253,44.5701234448,0.807790866934,0.333229303327,0.77353884926,moderate
MM0067,0.195317373718,29.648078409,41.2725476361,0.744459977947,0.217521232635,0.689779135348,high
MM0068,0.14543155598,30.104903654,43.6743414333,0.788375467193,0.270211104017,0.701764105364,high
MM0069,0.316758501824,29.6421891721,43.1143987845,0.767377751231,0.292090899351,0.713257876155,high
MM0070,0.16984651992,30.9555429326,41.0513537379,0.746833612899,0.317608695271,0.746686491534,high
MM0071,0.222110564989,28.8100190227,43.8993668174,0.770991691399,0.245936394939,0.691085033482,high
MM0072,0.312066223393,23.8220601251,53.6571258919,0.824219372012,0.639766812755,0.913926481095,low
MM0073,0.229298486767,27.8628714164,50.0554784152,0.845352692805,0.422392463239,0.791615371822,low
MM0074,0.315680990846,20.1832271032,66.2214928316,0.821892381476,0.788694556243,0.98042772819,low
MM0075,0.355827316658,22.1936587847,54.6816570933,0.822565359473,0.618373390638,0.849381551949,low
MM0076,0.282841900199,23.8361046959,63.2374333422,0.808218946001,0.689108626531,0.908488777959,low
MM0077,0.286498245153,24.2890627224,53.3048231857,0.799935829361,0.581531198562,0.905544410679,low
MM0078,0.173719876669,25.7960231524,51.4799127527,0.827352069703,0.49811392974,0.821278231562,low
MM0079,0.233286456516,29.8027000252,36.3069771529,0.774662671067,0.257139928462,0.691593358153,high
MM0080,0.238188011083,28.7761279738,42.3228152528,0.796427525291,0.275788165197,0.723644217759,moderate
MM0081,0.137396276523,28.8668903379,43.2216849822,0.780577092706,0.32742370927,0.751014393999,moderate
MM0082,0.229174253468,25.8675127585,47.2177278039,0.808330120217,0.400582479529,0.758584002579,low
MM0083,0.324515611802,27.3614087976,45.586826089,0.811400112477,0.434598319338,0.746402288955,moderate
MM0084,0.269194839798,26.4440253879,49.1884206839,0.820620526598,0.445375529655,0.83013905409,low
MM0085,0.254366223134,27.3547019787,48.7316746113,0.80754859674,0.373242289979,0.792547956123,low
MM0086,0.203552420089,24.4779349608,56.5117272192,0.813814687767,0.497361007934,0.862745314668,low
MM0087,0.352429452748,26.9112513239,48.0410166123,0.811704388916,0.493219017081,0.811564451102,low
MM0088,0.242476917791,28.5703267245,43.5253612034,0.788865105406,0.36007117854,0.728217134388,moderate
MM0089,0.225799596098,28.8576622201,41.5049639466,0.767636591892,0.270097792152,0.732606843267,high
MM0090,0.306896115916,24.993100649,47.6576615138,0.818844059679,0.431671682422,0.795747572959,low
MM0091,0.266935591703,26.886659855,51.7802673159,0.839745461936,0.494956675411,0.774558588025,low
MM0092,0.306031262997,21.3584754124,64.1067197495,0.800116732084,0.810153531455,1.01841334189,low
MM0093,0.304596035603,28.2127530939,39.1417487156,0.786226412412,0.32278100571,0.712813675091,high
MM0094,0.280128681976,29.0657351107,45.4664980769,0.794084572339,0.301086409851,0.683245798782,moderate
MM0095,0.289011245328,25.7751325642,51.0608769865,0.804887632106,0.540100207305,0.818052674157,low
MM0096,0.333349168176,30.3969982156,41.5927380547,0.766334458612,0.266469186052,0.683646584913,high
MM0097,0.297095249649,22.9452701886,61.7162540017,0.801241527229,0.652876847828,0.874005683946,low
MM0098,0.35917792795,23.9597538626,56.3302707675,0.82065983157,0.657476369972,0.876241697684,low
MM0099,0.243129044129,29.9874287889,41.6119170789,0.779394607332,0.293580554459,0.709569798286,moderate
MM0100,0.197432729357,26.942125661,47.8261055432,0.830409131324,0.281473676786,0.738867611652,low
MM0101,0.315007369416,30.2991040421,41.2466300422,0.755448698466,0.213575003068,0.655572957213,high
MM0102,0.371353556573,22.3110498648,58.0800002661,0.828695736211,0.70098378953,0.92446421526,low
MM0103,0.228337032242,24.6223811122,55.291346121,0.825934756856,0.580433999458,0.880402540805,low
MM0104,0.138588403921,26.5387692843,48.5875952274,0.825711583418,0.352552412608,0.772165786507,low
MM0105,0.2418888126,24.369753246,60.5535243742,0.830241411833,0.6081153948,0.88268651632,low
MM0106,0.185260376497,29.6167482621,40.0531364941,0.754512390057,0.308614118982,0.674392813909,high
MM0107,0.337045289457,26.7741089855,45.011336108,0.835628501663,0.429303604693,0.770540593756,low
MM0108,0.173700886443,25.9050462465,50.9500874448,0.831136534021,0.393244704563,0.830954851321,low
MM0109,0.138036859951,29.6552101434,39.3276621191,0.769356774982,0.328403560255,0.723533692548,high
MM0110,0.143726925075,31.430697908,35.289701362,0.723786334612,0.179659357251,0.662768446629,high
MM0111,0.13134076798,31.5270509177,36.0310841129,0.733579729776,0.185264709829,0.687595069541,high
MM0112,0.288882135582,26.0739451992,52.4146559732,0.79225997537,0.479251534566,0.805904450527,low
MM0113,0.158347755015,32.5342932178,35.9306835722,0.726791928727,0.0891761897695,0.647552063456,high
MM0114,0.312900731636,24.3533706889,52.1472303447,0.834314815176,0.532145388828,0.856759005989,low
MM0115,0.146577079192,27.8110590426,48.4869611943,0.791398917181,0.397250715288,0.785230798244,moderate
MM0116,0.226055911703,23.7507370856,52.2930817629,0.834591406721,0.55685199948,0.867098815955,low
MM0117,0.137253402204,27.2430815818,48.8576644869,0.810718018212,0.386035493048,0.75449991602,low
MM0118,0.155310940436,30.0130232164,43.9707875199,0.782741794047,0.298161619769,0.702995353197,high
MM0119,0.169181859509,30.753200143,39.6397088651,0.750674189336,0.176480240112,0.676005620822,high
MM0120,0.378494356761,25.7170859907,52.9479381592,0.844147420491,0.475877072135,0.79039329392,low
MM0121,0.357702508105,24.8440653846,55.354919557,0.829731833115,0.520344426598,0.852372843919,low
MM0122,0.141839908628,30.7368323744,34.945987069,0.757070635903,0.21576004476,0.652599469491,high
MM0123,0.258443617101,30.9426812222,37.3591082328,0.74713254353,0.207096405714,0.660464021019,high
MM0124,0.195710519989,27.1380058425,49.4958350655,0.814964244055,0.451196789487,0.816229507399,low
MM0125,0.364269695295,25.0242701238,55.1210297896,0.816238540098,0.472008343903,0.823317334425,low
MM0126,0.128523724285,26.9571892717,53.0988776675,0.828819523276,0.518530934694,0.81964312498,low
MM0127,0.1853146543,25.8947390331,51.8121992334,0.842532699188,0.510212322659,0.783321085957,low
MM0128,0.314932596712,23.9955785316,55.4573488737,0.822514422534,0.502206198502,0.846555930413,low
MM0129,0.193062602765,29.8292171577,44.8301716575,0.762298304783,0.241803155713,0.676508369337,high
MM0130,0.194084244751,27.2592783338,47.6478600666,0.81427735662,0.402628363356,0.735646650247,low
MM0131,0.375944008729,25.9710664539,52.8735360044,0.821700140465,0.531563026287,0.809117523829,low
MM0132,0.30863286163,23.7939730165,54.9291238404,0.812473096401,0.649366496345,0.863968083924,low
MM0133,0.340176390721,24.8360747812,54.2449314175,0.800873931339,0.540670896338,0.813061347014,low
MM0134,0.190676872062,25.9003966952,52.4330452973,0.795712219026,0.543718143719,0.855759498008,low
MM0135,0.150881647799,26.5372014517,45.4190631,0.812920180956,0.347441339496,0.784252207938,low
MM0136,0.250602166775,24.8177721727,56.2037393408,0.812168205456,0.611900762439,0.845565011395,low
MM0137,0.375264978843,25.8753266945,49.9331616711,0.814831197402,0.453608959142,0.802099680567,low
MM0138,0.29319518119,28.72267844,48.0294884329,0.778046039752,0.373272269231,0.734581277646,moderate
MM0139,0.293996929146,26.7207420447,50.0347302623,0.814694086237,0.536900252035,0.802923242739,low
MM0140,0.177806903585,27.3969357197,46.3723838274,0.800469191307,0.436438193656,0.753159387804,moderate
MM0141,0.273163332753,27.5594163649,42.6264889454,0.843504033346,0.386299593313,0.790738612282,low
MM0142,0.359889786657,21.3776654426,64.2235989215,0.831099950281,0.735021266373,0.922903195692,low
MM0143,0.357182306553,26.6908996689,50.5417638522,0.810831247433,0.499791545769,0.813599774117,low
MM0144,0.160386694182,27.439245013,51.4892068464,0.807368076202,0.376311954426,0.782013578206,low
MM0145,0.209558916275,26.1468608617,52.7107214072,0.84461336006,0.482536504961,0.824143521921,low
MM0146,0.284506845846,24.9179058792,56.0857742429,0.821614556748,0.514699459634,0.866947589707,low
MM0147,0.300393035931,26.4096270193,47.6563380845,0.82522749132,0.400227869529,0.761909622784,moderate
MM0148,0.37565435628,27.1395298541,49.1535025746,0.833940482121,0.448442683984,0.819798353344,low
MM0149,0.207533170214,34.4258554444,32.1665141305,0.681606634591,0.02,0.544426758686,high
MM0150,0.228040835778,30.1486530756,34.5631268316,0.748338834145,0.170044393845,0.627750591607,high
MM0151,0.367091707962,25.9368429271,50.4253134608,0.835216814238,0.531894924617,0.866410833315,low
MM0152,0.273559332648,26.8017297813,49.3257337739,0.832874117088,0.490533271777,0.799400949914,low
MM0153,0.273887812837,27.7083183161,46.7543277368,0.789336295504,0.422210662437,0.761987309751,moderate
MM0154,0.341318401096,24.8001762004,59.3172913724,0.802457167272,0.5508559677,0.881906394194,low
MM0155,0.312457045018,24.635743863,51.3774160666,0.813305941704,0.551152930145,0.81542645275,low
MM0156,0.371965481964,29.9612397434,40.5415879422,0.756543840374,0.202416616002,0.673044151537,high
MM0157,0.307629510959,26.9967818635,46.288004675,0.824749084141,0.425458264521,0.795270345457,low
MM0158,0.142007894594,29.8205017958,41.1115468463,0.757347801275,0.171175908139,0.661647627613,high
MM0159,0.239109981166,24.3437770045,50.9400679587,0.821909683366,0.570212786087,0.872823132256,low
MM0160,0.177709055279,24.4521236444,52.6564312408,0.827321504521,0.59586782758,0.860073988483,low
MM0161,0.376571610072,25.60483203,49.7847508327,0.849617582977,0.554788324961,0.849791406017,low
MM0162,0.167896927462,28.9572197025,40.9232671044,0.759146797201,0.321389986356,0.726766497046,high
MM0163,0.249124007435,26.875731816,48.3782527376,0.818088441591,0.33149837228,0.821581901818,low
MM0164,0.342704539597,25.0662850279,54.1403555436,0.816888465423,0.508604742937,0.801191779274,low
MM0165,0.191007656598,27.3062216879,42.3419017284,0.780338584992,0.336782529678,0.69476268101,moderate
MM0166,0.35912053529,26.7512966953,47.4663989415,0.816235241562,0.360056056417,0.792451683672,low
MM0167,0.268967450384,29.0550179174,44.8192924006,0.774737412545,0.309397953519,0.686899522433,high
MM0168,0.324166993617,26.8883631829,45.8978867343,0.792461290267,0.350309701572,0.792194584105,low
MM0169,0.260734654094,24.9164277291,54.4180792401,0.861076026397,0.62512168444,0.895296707128,low
MM0170,0.331758093908,24.5614983696,51.9707981253,0.824980539266,0.524879397367,0.853590704257,low
MM0171,0.228454754887,27.0985101718,48.9070722018,0.807069131936,0.501793288938,0.803286013224,low
MM0172,0.343985176527,26.2389249388,48.5620618565,0.797601253387,0.526412558579,0.794030715046,low
MM0173,0.205759288658,26.6421865686,49.0411764375,0.823712921334,0.441414274171,0.734592961863,low
MM0174,0.131517407493,32.349317588,34.0310782425,0.70747159793,0.12516396697,0.622125575257,high
MM0175,0.18366527348,24.6476447023,53.4479645568,0.822105227026,0.478659006111,0.851727932466,low
MM0176,0.235142707906,22.3330349039,57.4625596859,0.813449904334,0.603763757707,0.921093529407,low
MM0177,0.318569548688,27.4745987707,44.3273075542,0.843839725415,0.412433454762,0.809567539511,low
MM0178,0.157766967042,27.8374010339,45.6006362381,0.818366283514,0.410828688008,0.759868405164,low
MM0179,0.345829818896,24.635033395,51.257329207,0.798491456572,0.583938651816,0.869591405221,low
MM0180,0.216123252822,25.9399277106,47.1334076015,0.795929701978,0.435105969829,0.776105329524,low
MM0181,0.188636113679,24.0911482805,54.1895239479,0.82627109133,0.51050495316,0.845531319269,low
MM0182,0.254792180693,29.4707428704,44.8079183115,0.785926037874,0.343616810297,0.726082496081,high
MM0183,0.188967398508,27.7960590663,47.6781384711,0.818370034042,0.442262454301,0.806166715575,moderate
MM0184,0.155561481169,28.6208821712,44.8548254213,0.77177720515,0.253321852766,0.689415174445,moderate
MM0185,0.209322393075,20.5742248725,63.1013118967,0.836720219594,0.774606462308,0.974099618516,low
MM0186,0.129842906493,25.3435739473,52.6260740126,0.820428322938,0.436644447095,0.81422511071,low
MM0187,0.207464290953,26.7739741781,49.0891543212,0.809561631263,0.473294037981,0.819906048438,low
MM0188,0.19754035722,26.989396078,53.2950672733,0.819084998318,0.385360222262,0.830553414129,low
MM0189,0.20051635217,22.2003409215,60.1959389825,0.814856779772,0.66662225001,0.903841255205,low
MM0190,0.282143622175,26.112076985,47.3606100774,0.821001645908,0.379901756407,0.793611593154,low
MM0191,0.272081543468,28.317448907,44.227457436,0.78869457263,0.349303409103,0.718138141943,moderate
MM0192,0.145803418606,25.2673509773,49.8814765785,0.806649679488,0.532552017206,0.835898988883,low
MM0193,0.374027027095,21.8134987518,61.6799771369,0.824030982064,0.725796323254,0.923619722635,low
MM0194,0.322249787547,26.3491140992,56.5194753021,0.827434106116,0.494421890049,0.829895780913,low
MM0195,0.237889728995,28.7213888599,46.8979960367,0.797125849381,0.387041936328,0.739274216426,moderate
MM0196,0.150962707236,29.0822146842,42.1814682829,0.760294005662,0.242864519473,0.702391182129,high
MM0197,0.269003853713,21.357122359,65.4001733905,0.818401005815,0.736310110316,1.00059586069,low
MM0198,0.300964410145,26.1046775749,52.3862637435,0.80854389783,0.440558722452,0.822493822191,low
MM0199,0.169355412521,28.3776349961,45.8468568807,0.819580106033,0.386072361347,0.791535191123,moderate
MM0200,0.279958820014,28.1673069117,46.6558156788,0.804736252148,0.409448743828,0.754059315089,moderate
MM0201,0.327903584809,30.1394314059,38.7950413117,0.758803535353,0.236818719754,0.674636475884,high
