obs_id,r_mean,g_mean,b_mean,exg,leaf_area_cm2,lesion_fraction,stress,health_score
RGB0001,0.355316439217,0.341911032102,0.248819590486,0.079686034501,37.4882759657,0.820989305126,1,58.3674336214
RGB0002,0.28940488756,0.531709165928,0.188650776876,0.58536266742,48.9465100205,0.00359890425465,0,106.649380731
RGB0003,0.228810298774,0.57891906105,0.193261014964,0.735766808363,37.9786168303,0.0723802061516,0,101.778279727
RGB0004,0.370635649535,0.355538149856,0.218926859455,0.121513790723,39.222432634,0.669026443723,1,61.194323356
RGB0005,0.317641471239,0.385947899639,0.212372415853,0.241881912185,37.729147778,0.43007040329,1,81.9094721248
RGB0006,0.325790835093,0.52728575352,0.206245425703,0.522535246243,43.0154309032,0.164260674087,0,97.0336925067
RGB0007,0.32221886129,0.346752932297,0.234281179202,0.137005824102,33.3783092415,0.725006644217,1,63.8490817013
RGB0008,0.375669601922,0.302469428557,0.255799824226,-0.0265305690334,32.0376647101,0.566908611917,1,56.878067808
RGB0009,0.291539597926,0.54581452747,0.222267975685,0.577821481328,42.9151352368,0.0808660191023,0,99.0214294713
RGB0010,0.335277621085,0.519889318662,0.264723227239,0.439777789,38.9074757303,0.161164766671,0,92.8088799121
RGB0011,0.260331714079,0.536072650359,0.200200688629,0.61161289801,41.0695846075,0.0861044153103,0,106.132661826
RGB0012,0.287241638281,0.53292319469,0.23178354415,0.54682120695,39.0830636298,0.247174712114,0,93.3989417032
RGB0013,0.286607927117,0.510250149746,0.195720296211,0.538172076164,34.0490145099,0.0520013081588,0,101.596642197
RGB0014,0.299873404223,0.469943721392,0.179006957173,0.461007081387,42.679408858,0.0221947173855,0,98.6986224523
RGB0015,0.307994145507,0.535103021333,0.21050887012,0.551703027039,43.9924352762,0.108651370492,0,104.050784005
RGB0016,0.327521708683,0.485401225682,0.218790873847,0.424489868835,43.517358825,0.00611883439028,0,92.427350233
RGB0017,0.434655774879,0.397025119422,0.219479574557,0.139914889408,35.7320245642,0.39532366706,1,75.582360577
RGB0018,0.307980575363,0.564466037066,0.218729006048,0.602222492722,32.4169092132,0.0188278656577,0,106.62425828
RGB0019,0.419522295156,0.276006891485,0.188178145426,-0.0556866576131,36.8875891721,0.38213578668,1,64.9770166205
RGB0020,0.287988746825,0.509660387086,0.180387325983,0.550944701363,47.6926028557,0.0559767604684,0,103.089021013
RGB0021,0.416704333352,0.343024358572,0.222191824102,0.0471525596901,39.3835280831,0.287342126871,1,70.7154649126
RGB0022,0.334951408091,0.400300809903,0.22182242127,0.243827790445,39.6327488108,0.478312412464,1,71.7021430763
RGB0023,0.278662429534,0.462217664565,0.192999839174,0.452773060422,39.5208570693,0.0808404243657,0,95.2281709421
RGB0024,0.39761722029,0.381572756657,0.230218689665,0.135309603358,37.2717701459,0.556311604931,1,69.0854325603
RGB0025,0.260174466913,0.55327215034,0.209477741807,0.636892091961,42.2452057292,0.0783340809169,0,107.72744021
RGB0026,0.228561588244,0.56118993317,0.215788261052,0.678030017044,36.7194224344,0.0902311950044,0,110.593944106
RGB0027,0.242833427601,0.546852798041,0.197771433335,0.653100735147,38.302575161,0.018030789764,0,110.700235907
RGB0028,0.372137164138,0.35532618842,0.23366520084,0.104850011862,41.6533492409,0.376286635259,1,69.9556468683
RGB0029,0.247312125091,0.55137842237,0.165964654695,0.689480064954,33.5110406194,0.0645305497697,0,112.970763703
RGB0030,0.270412043559,0.535216244657,0.204982337629,0.595038108126,44.8279652247,0.156587067827,0,101.798164912
RGB0031,0.374876456489,0.373891466633,0.238741808833,0.134164667944,39.2329158022,0.744648398552,1,59.9827342539
RGB0032,0.297024040248,0.546785147842,0.194102297115,0.602443958321,38.9603522215,0.0861422389519,0,103.752149744
RGB0033,0.40326183228,0.396068863348,0.2071185091,0.181757385316,32.6080819357,0.194382599283,1,84.3325420249
RGB0034,0.300172401095,0.525127683242,0.192229624531,0.557853340857,44.8490164535,0.0128458832299,0,103.773611031
RGB0035,0.361099482043,0.349944933919,0.247328374078,0.0914620117167,35.4671246447,0.604056955164,1,59.9615535357
RGB0036,0.2645169859,0.591062569172,0.158282911194,0.75932524125,46.6775082669,0.13903698652,0,106.092191017
RGB0037,0.303552027994,0.576043757073,0.200692244578,0.647843241573,40.2904192669,0.0853988558655,0,105.277197094
RGB0038,0.333009209525,0.366352685577,0.245174834432,0.154521327196,41.4896525196,0.221102888051,1,75.9092338645
RGB0039,0.330922523336,0.510164294288,0.206366752721,0.483039312521,43.2241989358,0.00734484869116,0,97.3429376145
RGB0040,0.287781973975,0.48821009964,0.203712892385,0.484925332921,43.8225284842,0.110645331266,0,99.5257850698
RGB0041,0.299665164792,0.45578335742,0.196012008421,0.415889541625,40.0226305487,0.103532854162,0,93.2315638013
RGB0042,0.235712552108,0.534615968284,0.135957650951,0.697561733509,45.5729059757,0.0592591237599,0,109.689501313
RGB0043,0.358600806477,0.384200108076,0.246094333875,0.163705075801,33.7736059738,0.723077160657,1,56.1537695161
RGB0044,0.238237350781,0.520920488996,0.179827565094,0.623776062117,36.8020087204,0.15811141514,0,99.8785929503
RGB0045,0.220702937383,0.500308647228,0.190697767983,0.58921658909,43.462370489,0.0915782703678,0,104.270861823
RGB0046,0.285345723917,0.504962240325,0.185141697084,0.539437059649,39.99709489,0.0946884223691,0,100.885059292
RGB0047,0.367371858247,0.356327737359,0.227677404791,0.117606211681,34.2743981984,0.535676993768,1,71.9215156041
RGB0048,0.336662560227,0.375038293518,0.231421040696,0.181992986113,37.7351031395,0.448894784013,1,73.2269258002
RGB0049,0.282796411294,0.497316683853,0.222172542935,0.489664413477,42.1908907628,0.10789909482,0,95.9612027584
RGB0050,0.299050665952,0.556717102686,0.206330950509,0.60805258891,42.5552734045,0.052385001649,0,106.703259502
RGB0051,0.298289314199,0.505516623063,0.205418801238,0.507325130688,39.5494620208,0.0924317641837,0,102.262673056
RGB0052,0.287002292297,0.512303787152,0.163828839894,0.573776442112,42.8207347665,0.0928451943641,0,105.423063025
RGB0053,0.259167487336,0.469294657558,0.210753291848,0.468668535932,33.6300459038,0.126987241621,0,101.963487814
RGB0054,0.257404216539,0.609803892133,0.20817760069,0.754025967037,39.7435543433,0.0587777081886,0,116.599736281
RGB0055,0.389437898234,0.380703462082,0.153057809814,0.218911216117,43.5313931519,0.269511501699,1,90.3836399133
RGB0056,0.319026071753,0.513187251023,0.198467429856,0.508881000437,45.5687412387,0.131123941715,0,91.7451366271
RGB0057,0.260039738126,0.492286759915,0.22050477253,0.504029009173,44.8263816702,0.0754380747711,0,100.371088988
RGB0058,0.313599977877,0.538000136744,0.228330605168,0.534069690442,42.0230413676,0.102158681501,0,96.1888687758
RGB0059,0.346090905925,0.321282665225,0.256839137427,0.0396352870977,31.2590127734,0.421980785195,1,71.4558132385
RGB0060,0.247844856531,0.478773827887,0.184297628995,0.525405170249,39.8309051689,0.131002214349,0,99.8620113217
RGB0061,0.281662977804,0.462984053851,0.175581606115,0.468723523782,41.0238001238,0.122883721136,0,97.358729927
RGB0062,0.285086392479,0.522901917895,0.177709504786,0.583007938525,36.8347108089,0.247522830001,0,96.7490272344
RGB0063,0.357647775433,0.389262420247,0.242489148401,0.178387916661,35.7627505867,0.60999743051,1,72.7177635607
RGB0064,0.293806905452,0.534720088493,0.185744698584,0.589888572951,42.6226552788,0.230538627574,0,98.3389599982
RGB0065,0.324628343668,0.539541725768,0.162169663068,0.592285444801,45.2699711541,0.1966178211,0,98.1906359667
RGB0066,0.198030442745,0.545330546235,0.205401089019,0.687229560705,41.8868110436,0.486803157081,0,94.6237125557
RGB0067,0.257778149006,0.560761820747,0.201894260945,0.661851231543,49.1836553635,0.184971940375,0,101.473008475
RGB0068,0.389696484981,0.300279786566,0.197871769253,0.0129913188992,36.1484475666,0.516022458034,1,65.7289930382
RGB0069,0.294494915648,0.547585341088,0.194539922778,0.60613584375,46.5646111303,0.18115852052,0,101.065160681
RGB0070,0.280963290387,0.476842031767,0.198791699518,0.473929073629,41.3084758357,0.0717200733532,0,99.8606513509
RGB0071,0.392599826157,0.382669449419,0.216319242821,0.15641982986,36.2819536534,0.0759010462747,1,85.7583955476
RGB0072,0.259567271923,0.461623143324,0.178704349523,0.484974665202,40.3599983883,0.0780602415589,0,102.099714715
RGB0073,0.388214319332,0.417025907099,0.275882007896,0.169955486971,36.9848567096,0.292508137743,1,78.7670200732
RGB0074,0.364638714326,0.351453533649,0.227492666077,0.110775686896,37.7720615021,0.231586653822,1,74.9249119181
RGB0075,0.408145378066,0.310099439362,0.264006873975,-0.0519533733181,38.9691236245,0.185806976086,1,65.590542269
RGB0076,0.406458258855,0.374629613107,0.19689397411,0.145906993248,37.5264321358,0.626144430749,1,63.3977337431
RGB0077,0.225564705944,0.539046567854,0.217248212594,0.635280217169,44.9219096764,0.103751161002,0,105.326387449
RGB0078,0.292435422688,0.505112154845,0.202196311058,0.515592575944,39.9963173419,0.0211856848524,0,98.1091394663
RGB0079,0.366655739419,0.377873637459,0.258759519069,0.13033201643,38.4309138467,0.729241866233,1,57.9261308205
RGB0080,0.38321477891,0.295225988039,0.18019600518,0.0270411919878,44.3025848477,0.407571115238,1,68.1345651705
RGB0081,0.277205205971,0.54858366716,0.236590633699,0.58337149465,42.2960157762,0.0569607655346,0,105.714630429
RGB0082,0.399063982876,0.362810931526,0.180413427641,0.146144452536,42.761381751,0.386999158124,1,74.7981202296
RGB0083,0.321079012521,0.462345587316,0.212318870812,0.391293291298,39.6105818819,0.0263701087771,0,93.5437268287
RGB0084,0.289830484772,0.593921710159,0.177441209921,0.720571725626,44.3904647117,0.0625414703663,0,114.150363316
RGB0085,0.291094608362,0.445976424069,0.211460273196,0.38939796658,37.2928362803,0.0433614138092,0,96.8094313888
RGB0086,0.311897383581,0.477581999196,0.188715147354,0.454551467458,34.8138896499,0.0027424990738,0,99.8422399244
RGB0087,0.251612156472,0.566007899518,0.142351220851,0.738052421714,47.2709625566,0.0679402110018,0,110.184164069
RGB0088,0.350309456101,0.35962678786,0.226355310025,0.142588809593,34.7917511764,0.374968853319,1,78.0874814687
