obs_id,x,y,elevation,clay
SS001,1,1,104.844342,27.62361515
SS002,1,2,107.4723884,26.28145916
SS003,1,3,112.3572817,23.7210793
SS004,1,4,110.5305317,26.67594426
SS005,1,5,111.6022977,25.10034728
SS006,1,6,112.1857269,24.73963747
SS007,1,7,118.4652484,23.24517717
SS008,1,8,116.5512784,20.72463666
SS009,1,9,118.8887129,18.86674843
SS010,1,10,126.3278595,16.6884838
SS011,1,11,125.8525438,18.08762855
SS012,1,12,127.7808951,18.00301291
SS013,2,1,104.9887767,26.54590414
SS014,2,2,108.7780662,29.22432709
SS015,2,3,113.1900442,29.16927019
SS016,2,4,114.3034997,26.13369825
SS017,2,5,118.2803475,23.02945129
SS018,2,6,118.264603,24.43697367
SS019,2,7,121.8487715,25.22348406
SS020,2,8,123.4875489,21.71636665
SS021,2,9,123.6327353,23.96291904
SS022,2,10,127.2624138,17.05071202
SS023,2,11,133.0488365,17.39430476
SS024,2,12,131.1917263,18.63113423
SS025,3,1,109.8981944,29.41710878
SS026,3,2,114.9119568,29.35105093
SS027,3,3,116.5169652,28.49585152
SS028,3,4,115.5085671,27.96676084
SS029,3,5,115.5394964,29.09948295
SS030,3,6,119.1874177,23.93374419
SS031,3,7,121.9565367,23.55250005
SS032,3,8,125.7182777,22.5957165
SS033,3,9,125.223025,23.11341442
SS034,3,10,132.1360619,21.23318577
SS035,3,11,127.9156755,20.87753044
SS036,3,12,133.6874909,21.05118524
SS037,4,1,113.4299954,31.71306233
SS038,4,2,117.3910142,32.17363466
SS039,4,3,118.7794367,29.73603781
SS040,4,4,120.8777232,29.68158833
SS041,4,5,122.2398268,30.68267065
SS042,4,6,124.8964586,26.36284433
SS043,4,7,123.2656467,25.3485875
SS044,4,8,125.9437688,24.50842293
SS045,4,9,128.6489424,23.77208661
SS046,4,10,132.1166446,22.38151076
SS047,4,11,136.3029173,22.89283545
SS048,4,12,136.7702049,20.79924315
SS049,5,1,116.6136007,31.25211031
SS050,5,2,117.1233001,30.7735205
SS051,5,3,121.4849976,32.05538182
SS052,5,4,121.9679548,30.68948802
SS053,5,5,126.3848816,31.3491879
SS054,5,6,127.3403148,27.21417659
SS055,5,7,130.7527689,27.74055113
SS056,5,8,128.7234313,29.69925635
SS057,5,9,136.2726774,22.43873706
SS058,5,10,134.3025506,22.23118116
SS059,5,11,136.1646021,22.67465682
SS060,5,12,139.3225948,20.56766628
SS061,6,1,125.2554297,33.60118303
SS062,6,2,124.5911401,32.96498155
SS063,6,3,123.6748601,32.28403733
SS064,6,4,128.8026253,30.05955175
SS065,6,5,127.4644187,30.17844362
SS066,6,6,131.5184297,29.44597362
SS067,6,7,130.2773314,26.59243489
SS068,6,8,134.1866994,25.30890498
SS069,6,9,139.2275557,25.97156093
SS070,6,10,135.9346865,21.71299903
SS071,6,11,139.6553806,22.77206647
SS072,6,12,142.5360066,20.85163045
SS073,7,1,122.6219096,33.29327173
SS074,7,2,126.4977624,33.90391681
SS075,7,3,126.2444408,35.93063059
SS076,7,4,130.5839997,29.91210697
SS077,7,5,129.6763008,28.12987134
SS078,7,6,133.4884893,29.79019716
SS079,7,7,132.4095262,27.59921096
SS080,7,8,137.1483291,27.24689478
SS081,7,9,138.5775571,26.33561862
SS082,7,10,139.820641,22.25636578
SS083,7,11,144.4765267,24.67198863
SS084,7,12,142.3361007,24.17941643
SS085,8,1,128.3092442,33.27306242
SS086,8,2,126.9356491,33.51021829
