obs_id,signal_primary,signal_correlated,weak_feature,response
XA001,-2.5,-2.385535383,0.9780309147,-1.83143761
XA002,-2.479079498,-2.352944802,0.9130889403,-1.711700969
XA003,-2.458158996,-2.324004689,0.8080275083,-1.688946704
XA004,-2.437238494,-2.29991372,0.6674628258,-1.747113381
XA005,-2.416317992,-2.281214264,0.4975710479,-1.83762047
XA006,-2.39539749,-2.267718971,0.3058169084,-1.902669442
XA007,-2.374476987,-2.258536134,0.1006257334,-1.902937519
XA008,-2.353556485,-2.252190375,-0.1089867522,-1.835626593
XA009,-2.332635983,-2.24682233,-0.3138105594,-1.733755235
XA010,-2.311715481,-2.240440308,-0.5048461046,-1.647147275
XA011,-2.290794979,-2.231189851,-0.6736996356,-1.614900853
XA012,-2.269874477,-2.217604735,-0.8129520371,-1.643461709
XA013,-2.248953975,-2.198805409,-0.9164848133,-1.701562124
XA014,-2.228033473,-2.174618041,-0.9797489236,-1.734681371
XA015,-2.207112971,-2.145598046,-0.9999646585,-1.691721105
XA016,-2.186192469,-2.112954912,-0.9762437757,-1.550347716
XA017,-2.165271967,-2.078388502,-0.9096285274,-1.328114965
XA018,-2.144351464,-2.043858985,-0.8030458657,-1.073707954
XA019,-2.123430962,-2.011321538,-0.6611788378,-0.8427609396
XA020,-2.10251046,-1.982461718,-0.4902608213,-0.6705441255
XA021,-2.081589958,-1.958467335,-0.2978016413,-0.5553923433
XA022,-2.060669456,-1.939867684,-0.092257602,-0.4612580015
XA023,-2.039748954,-1.926461909,0.1173400676,-0.338010896
XA024,-2.018828452,-1.917346186,0.3217820292,-0.149053033
XA025,-1.99790795,-1.911036052,0.5120854772,0.1079174138
XA026,-1.976987448,-1.905667324,0.6798888262,0.3976692173
XA027,-1.956066946,-1.899248401,0.817819104,0.6634695317
XA028,-1.935146444,-1.889929822,0.9198159064,0.8542984822
XA029,-1.914225941,-1.876254581,0.9813976807,0.9494521852
XA030,-1.893305439,-1.857355325,0.9998586364,0.9680571024
XA031,-1.872384937,-1.833071748,0.9743876327,0.9586925043
XA032,-1.851464435,-1.803972287,0.9061038191,0.9744376476
XA033,-1.830543933,-1.771277183,0.7980074613,1.046069265
XA034,-1.809623431,-1.736693335,0.6548481156,1.167057987
XA035,-1.788702929,-1.702183272,0.4829159417,1.297979793
XA036,-1.767782427,-1.669699536,0.2897653247,1.388045857
XA037,-1.746861925,-1.640920417,0.08388294956,1.402714073
XA038,-1.725941423,-1.617022801,-0.125685089,1.343233075
XA039,-1.705020921,-1.598522887,-0.3297307546,1.248071771
XA040,-1.684100418,-1.585206319,-0.5192886541,1.175413729
XA041,-1.663179916,-1.5761572,-0.6860299602,1.175544521
XA042,-1.642259414,-1.569882053,-0.8226283648,1.267113667
XA043,-1.621338912,-1.564511958,-0.9230819841,1.429284711
XA044,-1.60041841,-1.5580555,-0.9829770697,1.613699795
XA045,-1.579497908,-1.548668298,-0.9996819412,1.770100202
XA046,-1.558577406,-1.534902634,-0.9724626171,1.87250082
XA047,-1.537656904,-1.515903394,-0.9025150646,1.932552371
XA048,-1.516736402,-1.491523803,-0.7929126513,1.993274471
XA049,-1.4958159,-1.462345293,-0.6484711067,2.106366304
XA050,-1.474895397,-1.429598806,-0.475536928,2.304690597
XA051,-1.453974895,-1.394998193,-0.2817085267,2.584004294
XA052,-1.433054393,-1.360508253,-0.07550236802,2.903312369
XA053,-1.412133891,-1.328078805,0.1340212265,3.203742666
XA054,-1.391213389,-1.299380791,0.3376561736,3.436409754
XA055,-1.370292887,-1.27558012,0.5264551261,3.585160005
XA056,-1.349372385,-1.257179868,0.6921226035,3.672700351
XA057,-1.328451883,-1.243952193,0.8273794799,3.747078977
XA058,-1.307531381,-1.234969165,0.9262828156,3.855493138
XA059,-1.286610879,-1.228728363,0.9844869789,4.018847565
XA060,-1.265690377,-1.223356218,0.9994345855,4.220090647
XA061,-1.244769874,-1.216861593,0.9704688648,4.412317301
XA062,-1.223849372,-1.207405272,0.8988625176,4.542534963
XA063,-1.20292887,-1.193548892,0.7877617958,4.578986888
XA064,-1.182008368,-1.174449617,0.6420482619,4.528094151
XA065,-1.161087866,-1.149974212,0.4681243019,4.432349352
XA066,-1.140167364,-1.120717076,0.2736318166,4.350185206
XA067,-1.119246862,-1.087919793,0.06711644974,4.328012083
XA068,-1.09832636,-1.05330309,-0.1423478911,4.378596966
XA069,-1.077405858,-1.018833942,-0.345557726,4.476715057
XA070,-1.056485356,-0.9864593547,-0.5335843866,4.574196829
XA071,-1.035564854,-0.9578428449,-0.6981663254,4.626607009
XA072,-1.014644351,-0.9341392907,-0.8320721132,4.617866575
XA073,-0.9937238494,-0.9158386246,-0.9294181745,4.570183974
XA074,-0.9728033473,-0.9026995238,-0.9859273015,4.534159488
XA075,-0.9518828452,-0.8937820719,-0.9991165867,4.564045228
XA076,-0.9309623431,-0.887574972,-0.9684065168,4.690725138
XA077,-0.910041841,-0.8822000939,-0.8951464363,4.906159753
XA078,-0.8891213389,-0.8756666698,-0.7825552589,5.167216929
XA079,-0.8682008368,-0.8661407359,-0.6355800352,5.416949439
XA080,-0.8472803347,-0.8521933507,-0.4606785874,5.612507671
XA081,-0.8263598326,-0.832993995,-0.2655357653,5.745511812
XA082,-0.8054393305,-0.8084229796,-0.05872578747,5.844566413
XA083,-0.7845188285,-0.7790876438,0.150664494,5.95871402
