plot,treatment,time,count,true_mean
P001,control,0,10,4.21396790203
P001,control,1,2,5.04503553994
P001,control,2,12,6.04000414599
P001,control,3,8,7.2311978369
P002,bio,0,3,2.65464479123
P002,bio,1,2,3.17818683698
P002,bio,2,5,3.80498046448
P002,bio,3,10,4.55538867841
P003,chemical,0,2,2.27896097233
P003,chemical,1,1,2.72841164596
P003,chemical,2,0,3.26650179628
P003,chemical,3,4,3.91071266718
P004,control,0,4,5.17656209995
P004,control,1,4,6.19747002734
P004,control,2,8,7.41971872415
P004,control,3,10,8.88301608604
P005,bio,0,1,2.98897253935
P005,bio,1,3,3.57844982201
P005,bio,2,3,4.28418225997
P005,bio,3,6,5.12909738841
P006,chemical,0,1,2.93723250502
P006,chemical,1,1,3.51650575454
P006,chemical,2,3,4.21002174685
P006,chemical,3,0,5.04031113445
P007,control,0,6,4.01229661145
P007,control,1,5,4.80359116922
P007,control,2,2,5.75094275313
P007,control,3,11,6.88512851837
P008,bio,0,1,2.50778859558
P008,bio,1,2,3.00236804966
P008,bio,2,5,3.59448715954
P008,bio,3,3,4.30338243892
P009,chemical,0,3,1.77267163113
P009,chemical,1,1,2.1222732559
P009,chemical,2,1,2.54082239125
P009,chemical,3,3,3.04191668341
P010,control,0,9,6.60288518338
P010,control,1,3,7.90508878824
P010,control,2,12,9.4641095543
P010,control,3,8,11.3305962849
P011,bio,0,1,1.98360507667
P011,bio,1,3,2.37480643937
P011,bio,2,7,2.84315950327
P011,bio,3,4,3.40387992344
P012,chemical,0,3,1.76233749278
P012,chemical,1,3,2.10990104604
P012,chemical,2,4,2.52601016679
P012,chemical,3,3,3.0241832311
P013,control,0,0,2.75321631527
P013,control,1,2,3.29619837707
P013,control,2,3,3.94626592933
P013,control,3,5,4.72453809008
P014,bio,0,2,1.88447993219
P014,bio,1,2,2.25613209527
P014,bio,2,2,2.70108051796
P014,bio,3,4,3.23378049529
P015,chemical,0,0,1.42384464756
P015,chemical,1,0,1.70465153445
P015,chemical,2,0,2.04083841512
P015,chemical,3,0,2.4433271859
P016,control,0,7,4.65363631544
P016,control,1,6,5.5714141985
P016,control,2,10,6.67019381559
P016,control,3,8,7.98567185141
P017,bio,0,5,3.06549426436
P017,bio,1,0,3.67006295984
P017,bio,2,1,4.39386309927
P017,bio,3,6,5.26040919362
P018,chemical,0,0,1.40271968908
P018,chemical,1,3,1.67936036736
P018,chemical,2,4,2.01055939075
P018,chemical,3,4,2.40707661219
P019,control,0,5,4.96515949168
P019,control,1,7,5.94437515411
P019,control,2,12,7.11670914741
P019,control,3,8,8.52024775956
P020,bio,0,2,3.16041898291
P020,bio,1,1,3.78370848108
P020,bio,2,3,4.52992149055
P020,bio,3,6,5.42330066206
P021,chemical,0,4,1.509794409
P021,chemical,1,0,1.8075520812
P021,chemical,2,1,2.16403273635
P021,chemical,3,2,2.59081756633
P022,control,0,7,4.980160158
P022,control,1,5,5.96233421229
P022,control,2,14,7.13821004369
P022,control,3,8,8.54598900591
P023,bio,0,2,2.96951123962
P023,bio,1,1,3.55515041606
P023,bio,2,0,4.25628780662
P023,bio,3,3,5.09570166453
P024,chemical,0,1,2.51928187296
P024,chemical,1,1,3.0161280009
P024,chemical,2,7,3.61096081208
P024,chemical,3,3,4.32310498177
P025,control,0,2,5.12133648452
P025,control,1,1,6.13135296166
P025,control,2,11,7.34056222513
P025,control,3,13,8.788248551
P026,bio,0,1,2.27040921487
P026,bio,1,8,2.71817333343
P026,bio,2,6,3.25424431076
P026,bio,3,3,3.89603779268
P027,chemical,0,0,1.01413386561
P027,chemical,1,0,1.21413867243
P027,chemical,2,2,1.45358789988
P027,chemical,3,0,1.74026067256
P028,control,0,0,3.92081174157
P028,control,1,1,4.69406389454
P028,control,2,5,5.61981479815
P028,control,3,7,6.72813985387
P029,bio,0,5,4.61799117119
P029,bio,1,3,5.52873921289
