obs_id,x,treatment,true_mean,true_sigma,yield
DY0001,-0.327096323636,1,57.0374220582,1.69251558836,55.8946687525
DY0002,1.81262199351,1,69.8757319611,3.47514639221,69.3077504481
DY0003,-1.99608818353,1,47.0234708988,3.69530582024,48.6542009709
DY0004,-1.53493646699,0,45.7903811981,2.64192376039,47.1145120439
DY0005,-0.573401967864,1,55.5595881928,1.98808236144,55.3589751362
DY0006,0.716316611311,0,59.2978996679,1.65957993357,57.3360347773
DY0007,0.749157345352,1,63.4949440721,2.19898881442,60.3105310116
DY0008,0.896403779408,0,60.3784226764,1.87568453529,61.3240585301
DY0009,1.42736247216,0,63.5641748329,2.51283496659,64.5800718903
DY0010,-0.32737645752,1,57.0357412549,1.69285174902,56.7918482626
DY0011,-0.520053959579,0,51.8796762425,1.42406475149,50.1779621716
DY0012,-1.14510150667,1,52.12939096,2.674121808,50.5998872697
DY0013,-0.694234464121,0,50.8345932153,1.63308135695,52.7326620941
DY0014,-1.56132732713,1,49.6320360372,3.17359279256,50.6253498919
DY0015,0.256911853704,1,60.5414711222,1.60829422444,60.491217334
DY0016,-0.812501979308,0,50.1249881242,1.77500237517,53.2147598239
DY0017,-0.0891088238666,0,54.4653470568,0.90693058864,53.9005567587
DY0018,1.38210152367,0,63.292609142,2.4585218284,65.0095426615
DY0019,0.666922545403,0,59.0015352724,1.60030705448,59.2527480501
DY0020,-1.80084245383,0,44.194945277,2.9610109446,46.8841359695
DY0021,0.658650659042,1,62.9519039543,2.09038079085,64.926259489
DY0022,0.121624465038,1,59.7297467902,1.44594935805,59.416460175
DY0023,1.74050018989,1,69.4430011394,3.38860022787,64.9826197965
DY0024,-0.589186143835,0,51.464883137,1.5070233726,51.6923530638
DY0025,-0.707187765764,1,54.7568734054,2.14862531892,53.7926170049
DY0026,1.09879991485,1,65.5927994891,2.61855989782,65.4267347727
DY0027,0.161030883345,0,55.9661853001,0.993237060014,55.7392275197
DY0028,-0.640469939437,1,55.1571803634,2.06856392732,56.2420508717
DY0029,-1.40037677419,1,50.5977393549,2.98045212902,51.7254852834
DY0030,1.42933288273,0,63.5759972964,2.51519945928,61.5382670102
DY0031,-0.60097363124,0,51.3941582126,1.52116835749,52.2700902141
DY0032,0.0712382682057,1,59.4274296092,1.38548592185,61.071469732
DY0033,1.81636767082,0,65.8982060249,2.97964120498,72.0712165192
DY0034,-1.45716280303,0,46.2570231818,2.54859536363,50.3638701049
DY0035,-1.35571146228,1,50.8657312263,2.92685375474,53.0310303242
DY0036,-1.95698390613,0,43.2580965632,3.14838068736,43.0219892711
DY0037,-1.70110812388,0,44.7933512567,2.84132974866,45.3584722999
DY0038,0.219046168056,1,60.3142770083,1.56285540167,61.3268687339
DY0039,-0.168013923214,0,53.9919164607,1.00161670786,51.9430580773
DY0040,1.93147069173,0,66.5888241504,3.11776483007,64.749614905
DY0041,1.24963076525,0,62.4977845915,2.29955691831,62.4677962558
DY0042,-1.27657854423,0,47.3405287346,2.33189425308,48.6800431984
DY0043,0.183857328156,0,56.1031439689,1.02062879379,57.6695985996
DY0044,1.43957134061,0,63.6374280437,2.52748560874,63.2207954321
DY0045,-0.744926686362,0,50.5304398818,1.69391202363,52.3740294548
DY0046,0.0613353723816,0,55.3680122343,0.873602446858,54.3471346425
DY0047,0.0404376790673,0,55.2426260744,0.848525214881,55.7891829535
DY0048,1.02149284678,1,65.1289570807,2.52579141614,66.8330101949
DY0049,0.386182401313,0,57.3170944079,1.26341888158,55.8897690451
DY0050,1.87402157325,1,70.2441294395,3.5488258879,65.6398436812
DY0051,0.827014962875,0,59.9620897773,1.79241795545,60.9921548481
DY0052,1.86213284582,1,70.1727970749,3.53455941498,73.8781822971
DY0053,1.64054643787,1,68.8432786272,3.26865572545,69.7210920104
DY0054,1.04103423305,0,61.2462053983,2.04924107966,62.8302072267
DY0055,-0.686904310972,0,50.8785741342,1.62428517317,49.6980216773
DY0056,1.61563334841,0,64.6938000904,2.73876001809,68.1560743904
DY0057,0.782058035382,1,63.6923482123,2.23846964246,63.6300277523
DY0058,-0.22616467852,0,53.6430119289,1.07139761422,54.565507888
DY0059,-1.02695056348,0,48.8382966191,2.03234067618,47.5737554107
DY0060,0.501558299398,1,62.0093497964,1.90186995928,63.4409435359
DY0061,-0.695175380848,0,50.8289477149,1.63421045702,50.813071071
DY0062,-1.16923875041,1,51.9845674976,2.70308650049,55.1343765224
DY0063,-1.98773286183,0,43.073602829,3.18527943419,44.7456671878
DY0064,-1.67899440877,0,44.9260335474,2.81479329052,43.6891127786
DY0065,-1.05624885398,1,52.6625068761,2.56749862478,50.7581202449
DY0066,-1.69775169859,1,48.8134898084,3.33730203831,49.5396334058
DY0067,-1.98967921163,1,47.0619247302,3.68761505396,51.1546238193
DY0068,-0.422940016292,0,52.4623599022,1.30752801955,52.7809527225
DY0069,1.20030936443,0,62.2018561866,2.24037123732,60.7254130636
DY0070,1.59566165224,1,68.5739699134,3.21479398269,66.8555751998
DY0071,1.29011312968,1,66.7406787781,2.84813575561,67.3567449075
DY0072,-1.74749766741,0,44.5150139956,2.89699720089,48.498178992
DY0073,-1.66291661744,0,45.0225002954,2.79549994092,46.5751204112
DY0074,0.236270069544,0,56.4176204173,1.08352408345,55.5261245762
DY0075,0.00357332855563,1,59.0214399713,1.30428799427,59.0264172503
DY0076,1.81352044142,0,65.8811226485,2.9762245297,65.4308686778
DY0077,1.80228095273,0,65.8136857164,2.96273714327,61.0449607861
DY0078,1.23583692373,1,66.4150215424,2.78300430847,67.6452792962
DY0079,-0.282630095313,1,57.3042194281,1.63915611438,56.0051032808
DY0080,1.15710571585,0,61.9426342951,2.18852685902,62.0308555986
DY0081,0.206351338731,1,60.2381080324,1.54762160648,60.4946768595
DY0082,1.5029640635,1,68.017784381,3.1035568762,62.6233297378
DY0083,-1.52473137833,1,49.85161173,3.129677654,49.4125420329
DY0084,-0.0202608239734,0,54.8784350562,0.824312988768,55.0748481179
DY0085,-1.06174169146,0,48.6295498512,2.07409002975,51.017781323
DY0086,1.35277971237,0,63.1166782742,2.42333565485,64.8753716254
DY0087,1.62188541549,1,68.7313124929,3.24626249859,72.0292507845
DY0088,0.73797457855,1,63.4278474713,2.18556949426,61.8083687564
DY0089,-1.17834730002,0,47.9299161999,2.21401676002,47.3293819882
DY0090,1.92915592291,0,66.5749355375,3.1149871075,66.814742601
DY0091,-0.858609331952,1,53.8483440083,2.33033119834,52.4844776491
DY0092,-0.418384339433,1,56.4896939634,1.80206120732,55.142313576
DY0093,1.26888619363,0,62.6133171618,2.32266343235,62.4715898258
DY0094,1.72297505131,0,65.3378503079,2.86757006158,63.2008785418
DY0095,-1.70392999413,0,44.7764200352,2.84471599296,43.1076084354
DY0096,0.151964199099,1,59.9117851946,1.48235703892,61.7983551464
DY0097,-1.28252686357,1,51.3048388186,2.83903223628,50.5888589707
DY0098,0.634802417793,0,58.8088145068,1.56176290135,56.4449249234
DY0099,0.119021823674,0,55.714130942,0.942826188409,55.1299425926
DY0100,0.0620983489407,1,59.3725900936,1.37451801873,59.9482765692
