obs_id,x,z,response,true_sigma
HR001,4.008791825,-1.665673906,21.63619872,2.003077139
HR002,3.518393322,-1.176470957,19.45771963,1.831437663
HR003,2.269339366,-1.11454196,13.77149553,1.394268778
HR004,4.286113432,-1.40636664,19.32895505,2.100139701
HR005,2.605430711,-0.6821877122,15.61666848,1.511900749
HR006,4.135339202,-1.364434091,16.82823135,2.047368721
HR007,1.886036069,1.901013787,13.46286281,1.260112624
HR008,5.906772687,0.9489104094,22.56599655,2.66737044
HR009,9.737150099,0.5422825194,26.27854742,4.008002535
HR010,6.172782601,0.09603483055,21.86048669,2.76047391
HR011,1.424683708,-1.635666128,13.87245296,1.098639298
HR012,3.214115132,0.2843813703,14.09650644,1.724940296
HR013,7.933365962,-1.527257417,29.42206349,3.376678087
HR014,2.310538582,1.565737508,12.72825934,1.408688504
HR015,3.535527274,-0.09266107647,15.18159729,1.837434546
HR016,2.747124345,-0.8847508922,13.27160169,1.561493521
HR017,2.382858136,-2.617028216,16.89385549,1.434000348
HR018,3.900473886,0.9615158589,11.37390757,1.96516586
HR019,6.69956081,-0.5606792324,17.65359838,2.944846283
HR020,2.656682499,0.1272435713,15.67695452,1.529838875
HR021,6.937389575,1.340567401,24.50333617,3.028086351
HR022,1.580990349,0.5579989207,13.47280702,1.153346622
HR023,1.412124249,-1.397588656,14.81583,1.094243487
HR024,3.700010433,0.801632295,14.996359,1.895003652
HR025,2.886626291,1.492187028,12.20528698,1.610319202
HR026,9.605414699,0.6687945123,27.4411111,3.961895145
HR027,2.076479947,-1.030118394,14.23510912,1.326767981
HR028,7.356672099,0.7680550577,26.4979459,3.174835235
HR029,2.816342552,1.793103856,13.21836066,1.585719893
HR030,5.683293218,0.178841871,24.08607632,2.589152626
HR031,9.687074271,0.2779536932,31.50152718,3.990475995
HR032,1.385012866,-0.6072388117,13.77922006,1.084754503
HR033,7.845336537,1.385325029,24.46531327,3.345867788
HR034,8.542593812,-0.4960199505,24.83485337,3.589907834
HR035,4.055671819,1.169732233,17.96204337,2.019485137
HR036,0.1152353665,-0.4042705554,10.40011034,0.6403323783
HR037,6.879470876,-0.2004492598,31.07905799,3.007814807
HR038,9.664157757,0.8160168082,27.86591599,3.982455215
HR039,9.995883517,0.4523350811,33.79351656,4.098559231
HR040,0.9947603418,0.452012051,11.65438087,0.9481661196
HR041,3.557427086,0.3670189288,15.92311248,1.84509948
HR042,2.982317297,0.5146310737,15.25716817,1.643811054
HR043,7.380263286,-0.143331277,26.20470006,3.18309215
HR044,5.404609537,1.684598602,17.23589792,2.491613338
HR045,9.567810259,-0.6986144087,29.53264447,3.948733591
HR046,0.5069859085,0.9256364228,10.26599101,0.777445068
HR047,9.795332423,-0.4055020224,33.96219579,4.028366348
HR048,4.806878152,0.6097180007,18.75873082,2.282407353
HR049,6.710237796,-0.1613541642,21.32326977,2.948583228
HR050,9.243562342,-0.121754871,26.92303051,3.83524682
HR051,8.651945113,-1.825179676,25.08372251,3.62818079
HR052,3.117330865,2.389323436,12.58884584,1.691065803
HR053,5.306888258,-0.9438813825,18.60480454,2.45741089
HR054,2.636047923,0.4700379059,15.48678766,1.522616773
HR055,1.012422575,-0.8124698334,14.29438108,0.9543479013
HR056,9.23739504,-0.4711392081,23.86749804,3.833088264
HR057,5.399776549,-1.454734414,19.52838013,2.489921792
HR058,0.4769441346,0.01920444496,10.76180628,0.7669304471
