obs_id,site,block,genotype,nitrogen,yield
HY0001,S1,S1_B1,G1,40,41.97961393
HY0002,S1,S1_B1,G1,120,55.5259487442
HY0003,S1,S1_B1,G2,40,50.9436870673
HY0004,S1,S1_B1,G2,120,58.3973703588
HY0005,S1,S1_B1,G3,40,52.2036211408
HY0006,S1,S1_B1,G3,120,52.0434943372
HY0007,S1,S1_B1,G4,40,52.3964144569
HY0008,S1,S1_B1,G4,120,64.1069175647
HY0009,S1,S1_B2,G1,40,46.5764217837
HY0010,S1,S1_B2,G1,120,59.1364787173
HY0011,S1,S1_B2,G2,40,50.8413130068
HY0012,S1,S1_B2,G2,120,62.5866264655
HY0013,S1,S1_B2,G3,40,48.9869596108
HY0014,S1,S1_B2,G3,120,56.900681031
HY0015,S1,S1_B2,G4,40,50.3819646731
HY0016,S1,S1_B2,G4,120,61.8861745409
HY0017,S1,S1_B3,G1,40,49.6037068413
HY0018,S1,S1_B3,G1,120,52.5092010276
HY0019,S1,S1_B3,G2,40,51.8363398538
HY0020,S1,S1_B3,G2,120,64.1602396952
HY0021,S1,S1_B3,G3,40,44.752754175
HY0022,S1,S1_B3,G3,120,56.5365159186
HY0023,S1,S1_B3,G4,40,51.6279553683
HY0024,S1,S1_B3,G4,120,61.6886063612
HY0025,S1,S1_B4,G1,40,49.3395602372
HY0026,S1,S1_B4,G1,120,50.2982226918
HY0027,S1,S1_B4,G2,40,50.379196227
HY0028,S1,S1_B4,G2,120,59.247282816
HY0029,S1,S1_B4,G3,40,47.3359116119
HY0030,S1,S1_B4,G3,120,54.2566103488
HY0031,S1,S1_B4,G4,40,55.2862351503
HY0032,S1,S1_B4,G4,120,62.8047403838
HY0033,S1,S1_B5,G1,40,49.4039958556
HY0034,S1,S1_B5,G1,120,55.5163583462
HY0035,S1,S1_B5,G2,40,46.4679054873
HY0036,S1,S1_B5,G2,120,60.168522045
HY0037,S1,S1_B5,G3,40,45.006926552
HY0038,S1,S1_B5,G3,120,54.1703498408
HY0039,S1,S1_B5,G4,40,55.8025289184
HY0040,S1,S1_B5,G4,120,66.0093451934
HY0041,S2,S2_B1,G1,40,53.8261745977
HY0042,S2,S2_B1,G1,120,63.1071732105
HY0043,S2,S2_B1,G2,40,59.4136370823
HY0044,S2,S2_B1,G2,120,64.9777461194
HY0045,S2,S2_B1,G3,40,53.3353838295
HY0046,S2,S2_B1,G3,120,62.4429893214
HY0047,S2,S2_B1,G4,40,57.9548077791
HY0048,S2,S2_B1,G4,120,66.7352702894
HY0049,S2,S2_B2,G1,40,52.294889821
HY0050,S2,S2_B2,G1,120,60.7012292713
HY0051,S2,S2_B2,G2,40,55.186317483
HY0052,S2,S2_B2,G2,120,64.2548088997
HY0053,S2,S2_B2,G3,40,52.0818807794
HY0054,S2,S2_B2,G3,120,61.6206320666
HY0055,S2,S2_B2,G4,40,57.6740187206
HY0056,S2,S2_B2,G4,120,72.095951029
HY0057,S2,S2_B3,G1,40,53.9894543017
HY0058,S2,S2_B3,G1,120,60.7757251185
HY0059,S2,S2_B3,G2,40,53.3636624702
HY0060,S2,S2_B3,G2,120,67.3617918671
HY0061,S2,S2_B3,G3,40,53.3945734821
HY0062,S2,S2_B3,G3,120,61.5759056651
HY0063,S2,S2_B3,G4,40,57.3828033963
HY0064,S2,S2_B3,G4,120,69.9516377491
HY0065,S2,S2_B4,G1,40,53.2684588198
HY0066,S2,S2_B4,G1,120,60.4428342856
HY0067,S2,S2_B4,G2,40,56.0750575935
HY0068,S2,S2_B4,G2,120,66.4754979093
HY0069,S2,S2_B4,G3,40,52.6983461489
HY0070,S2,S2_B4,G3,120,58.0046202134
HY0071,S2,S2_B4,G4,40,59.6315010972
HY0072,S2,S2_B4,G4,120,69.8428934452
HY0073,S2,S2_B5,G1,40,53.912215277
HY0074,S2,S2_B5,G1,120,60.2404840365
HY0075,S2,S2_B5,G2,40,56.0329885104
HY0076,S2,S2_B5,G2,120,66.2839786401
HY0077,S2,S2_B5,G3,40,48.3354577723
HY0078,S2,S2_B5,G3,120,61.9621408596
HY0079,S2,S2_B5,G4,40,53.7234933939
HY0080,S2,S2_B5,G4,120,69.2105019394
HY0081,S3,S3_B1,G1,40,55.8670637732
HY0082,S3,S3_B1,G1,120,64.982416851
HY0083,S3,S3_B1,G2,40,57.1677335083
HY0084,S3,S3_B1,G2,120,66.9491180923
HY0085,S3,S3_B1,G3,40,58.0972653796
HY0086,S3,S3_B1,G3,120,64.7023481714
HY0087,S3,S3_B1,G4,40,60.7313509374
HY0088,S3,S3_B1,G4,120,74.956192279
HY0089,S3,S3_B2,G1,40,51.5013522058
HY0090,S3,S3_B2,G1,120,62.7140041667
HY0091,S3,S3_B2,G2,40,56.3027355769
HY0092,S3,S3_B2,G2,120,65.6996017588
HY0093,S3,S3_B2,G3,40,55.7023801739
HY0094,S3,S3_B2,G3,120,63.81853731
HY0095,S3,S3_B2,G4,40,55.9770475623
HY0096,S3,S3_B2,G4,120,72.0128460627
HY0097,S3,S3_B3,G1,40,59.166177672
HY0098,S3,S3_B3,G1,120,66.6118309195
HY0099,S3,S3_B3,G2,40,56.0331529189
HY0100,S3,S3_B3,G2,120,65.2847726941
HY0101,S3,S3_B3,G3,40,54.9808354619
HY0102,S3,S3_B3,G3,120,61.732911194
HY0103,S3,S3_B3,G4,40,59.3407679604
HY0104,S3,S3_B3,G4,120,71.2673748505
HY0105,S3,S3_B4,G1,40,54.023789268
HY0106,S3,S3_B4,G1,120,65.5689627047
