obs_id,nitrogen,rainfall,soil_n,yield
LR001,20.83586179,862.696402,2.161245827,49.51650723
LR002,135.9668623,708.4020659,2.189119789,71.9733759
LR003,155.4932661,833.3905789,1.856269577,78.90914867
LR004,143.815465,796.4773531,2.027296906,73.81082091
LR005,44.81927997,870.2692362,1.650494439,56.11570865
LR006,56.47805048,745.6988611,2.208523721,61.33759564
LR007,40.02350732,958.3398012,1.920572133,60.2846292
LR008,33.87395675,675.7311196,1.435362876,51.10959195
LR009,34.28368986,782.5126242,2.30436399,52.82489648
LR010,109.4232298,850.1019842,1.933614516,71.3750145
LR011,60.85755389,1058.523825,1.657339898,63.98266947
LR012,96.09665143,999.5138245,1.457833172,72.02889863
LR013,35.78908184,1025.39764,1.999278879,63.19652672
LR014,43.82614672,821.8245438,1.214795836,51.1066799
LR015,166.5611556,905.1512844,1.468237974,78.99329813
LR016,80.53751375,811.4680926,1.729368741,65.6025582
LR017,106.1640147,1018.402167,1.905239879,72.6583522
LR018,49.97711532,772.7753581,1.738727485,54.05486682
LR019,25.02719772,985.7462593,2.395870094,59.76496207
LR020,163.515985,981.9637202,2.282084897,83.52723874
LR021,57.53056451,837.4461908,1.582414808,53.32728967
LR022,36.11145845,854.6096151,1.181746521,58.67590334
LR023,102.7660014,772.0236434,1.525188059,64.93841861
LR024,11.30688375,661.5863336,1.540747778,51.98260223
LR025,68.23577646,1004.563742,1.76577399,66.055976
LR026,161.8162584,867.1454075,1.546563386,78.42874382
LR027,56.55669859,665.4016971,1.716401754,55.20722276
LR028,11.93241445,1049.202701,1.647892037,54.35872028
LR029,71.95623615,629.6932182,1.579200757,59.749529
LR030,165.463364,915.6365226,1.573474831,75.69030452
LR031,39.9012479,910.6774672,1.6557965,56.5621248
LR032,8.743558789,784.5191557,1.636920494,52.13714662
LR033,9.822456798,687.6206585,1.948479727,58.03551048
LR034,66.97382461,818.2100614,2.346660321,65.68264433
LR035,78.08283469,1000.530094,1.754200422,71.28520543
LR036,130.4294491,871.3386935,1.888694537,68.21977132
LR037,178.0375472,902.9075674,1.270938946,76.0243968
LR038,78.61747767,1074.814248,1.80543588,73.82491703
LR039,88.32175367,997.8140935,1.16955255,64.57250594
LR040,27.29641097,734.548823,2.133088638,58.39650642
LR041,20.83265716,753.7165551,2.080504191,57.28881424
LR042,95.91075866,763.0102501,1.437819751,63.60538634
LR043,75.10483181,670.966168,1.185844845,58.23845076
LR044,65.90126109,737.0015134,1.505968788,66.43661444
LR045,8.861895111,806.8236621,1.786075354,48.58347638
LR046,161.3621878,756.4945641,2.13064075,79.6807029
LR047,31.88264761,875.8766962,1.284501433,51.5670959
LR048,22.02465167,793.1730901,1.730195515,48.34416765
LR049,108.6577535,891.2213743,2.195341466,64.94425029
LR050,10.05143034,739.2136416,2.43243661,54.58869244
LR051,32.13422778,652.9766884,2.087240377,57.03155589
LR052,134.0426771,1045.915124,1.597630515,76.61115822
LR053,138.3991909,777.332654,1.67846529,75.44420355
LR054,87.22123596,708.2218636,1.864705341,65.80640939
LR055,177.541037,943.4834193,1.74963823,77.37537386
LR056,149.1437755,943.0927067,1.316324305,71.75194414
LR057,90.27858566,896.1575405,2.537728786,68.2470039
LR058,155.5757371,694.8420269,1.873078751,77.10055459
LR059,161.1403195,745.5533362,1.558613208,73.23447575
LR060,16.42479227,940.2500886,1.837648594,54.04905366
LR061,31.16477661,877.0846271,1.326845812,52.38609292
LR062,168.8392035,963.5100071,2.311931052,87.60498426
LR063,169.712452,832.7898059,2.032052764,77.63255418
LR064,64.86868961,944.8081968,2.499206524,66.92134442
LR065,121.5757141,827.0129791,1.494724157,66.30763882
LR066,47.88080961,1084.963786,1.540290237,61.50709791
LR067,104.508001,668.7732327,2.376977445,67.49569242
LR068,161.1733333,871.1151875,2.1900361,81.03640612
LR069,154.2221225,774.0181432,1.566861616,73.07039704
LR070,167.9500494,858.9814249,1.48191076,79.45952894
LR071,19.08784736,804.5586175,2.134267015,56.08882316
LR072,66.71969344,758.3097915,1.655127387,65.67536264
LR073,113.3659645,717.2106331,1.20750944,63.41774642
LR074,102.6114038,756.5736493,2.084800807,70.18807594
LR075,58.4390367,976.1714843,1.92253461,62.36219117
LR076,166.1331861,782.2157659,1.782666867,82.73746977
LR077,71.61823097,879.7369361,1.949805531,61.35010734
LR078,146.7684901,912.8400324,2.004873486,75.18207208
LR079,162.8582873,957.5450532,1.865187663,85.21271798
LR080,56.62149585,885.6035293,1.381965121,64.4359559
LR081,83.92769366,931.6051626,1.814460302,67.16797952
LR082,67.32305771,1020.197,1.553736969,63.36805951
LR083,43.31890126,719.9635894,1.352227711,52.13949921
LR084,79.22201249,847.7134884,1.892184846,63.99562959
LR085,47.15482306,1136.934483,1.976670852,62.71505198
LR086,34.57645017,1031.559478,1.772196265,59.14811745
LR087,176.8154356,841.0279884,1.549832225,83.95497063
LR088,144.8234942,952.4199477,2.051818045,73.20127743
LR089,170.0706855,953.4186242,1.402316666,79.46907335
LR090,25.32209293,926.4230927,1.87430033,58.87736979
LR091,122.807448,1010.310854,1.760306255,72.46530977
LR092,38.52701366,766.1967692,2.096735562,51.25922413
LR093,71.51690149,998.8699655,2.33043522,67.80811584
LR094,85.3151357,785.0996856,1.202879985,61.2228003
LR095,3.169493082,792.5375644,1.700028272,47.625781
LR096,178.2077668,807.6312114,2.283436485,84.28988004
LR097,13.19793654,1092.523069,1.177028301,53.37374114
LR098,137.4653853,810.148903,1.331444568,69.65615441
LR099,108.8135723,952.535213,1.668930719,65.66204091
LR100,169.5451435,910.5185552,2.084365503,82.11642594
LR101,107.290404,815.972535,1.716343337,71.73358767
LR102,128.4182184,1014.963603,1.51697771,70.19191512
LR103,38.49142663,683.3948573,2.127933687,57.79569716
LR104,125.732206,738.4967077,1.38786917,71.22052591
LR105,86.98896643,1010.536362,1.766963796,65.71550719
LR106,107.7372671,1195.432827,1.953280197,72.57976974
LR107,19.00264164,612.067569,1.921085048,56.02059296
LR108,108.002879,889.6714236,2.255172925,66.27309059
LR109,160.183809,1290.789311,1.800047578,79.26076949
LR110,147.2362196,901.8029308,1.494158351,81.71777711
LR111,32.93532498,862.1416767,2.282900806,55.98325969
LR112,43.80914714,881.5798748,1.06705726,53.81688085
LR113,119.494384,729.6505934,1.775167193,67.84990059
LR114,69.86968054,885.4738287,1.578816512,58.63360358
LR115,57.38398223,788.1695829,1.694537459,63.66547329
LR116,45.89391867,894.9869711,2.024231836,64.237552
LR117,33.50949696,839.1044711,1.481363267,54.35368341
LR118,151.1375364,940.2200062,1.230239447,80.30594535
LR119,76.34915796,809.8185172,1.817296509,62.22405326
LR120,117.4169442,729.9438812,1.556133903,75.04528631
LR121,155.9314796,908.9213705,2.100893746,79.00122063
LR122,130.6572587,1007.280349,1.673487622,72.57520481
LR123,169.6055563,931.1103719,2.711173975,82.6688635
LR124,95.95685147,1037.38335,2.003969746,73.73523715
LR125,27.67599766,978.0483919,1.450825905,56.64788778
LR126,31.20667383,745.6650355,1.802636194,54.74107004
LR127,28.81155268,883.6877716,1.457335984,55.12161759
LR128,23.02018339,851.8820989,1.744984358,62.63889232
LR129,112.2829172,808.6689223,1.166618842,66.18874714
LR130,102.6873724,872.5720657,1.781485974,71.08624361
LR131,26.01909257,768.2604834,2.685091758,58.90809586
LR132,105.7829226,1090.937024,1.941396989,77.31507773
LR133,121.0202304,933.7659879,1.838387865,72.44971278
LR134,13.22776885,904.2738995,0.8561862434,50.78471968
LR135,92.10166859,625.8387149,1.1849803,58.57007208
LR136,10.95726177,642.2491764,1.518757959,47.00346161
LR137,159.8664001,910.7215476,1.515695951,80.88484264
LR138,164.7397345,1119.6181,2.189752251,84.15074295
LR139,149.2106531,1002.474537,1.416274865,83.59305593
LR140,169.7656127,977.1196897,1.385278475,75.45001107
LR141,172.0780636,656.7584773,1.78999793,80.10387972
LR142,17.79847151,801.2158427,1.901038112,52.46217033
LR143,47.09380521,754.0667519,1.452734002,59.78339278
LR144,31.86442546,910.1480045,1.860360689,50.65462551
LR145,105.1844071,832.2717673,1.703453812,68.40961163
LR146,48.8854905,912.7033256,1.956591092,61.08275321
LR147,32.09061085,943.9771291,2.424063566,55.0181498
LR148,48.81319671,866.6587884,1.482633486,54.64216726
LR149,52.42978124,1155.828472,1.1080176,64.93060483
LR150,15.66074555,1015.630672,1.840037499,59.19792134
LR151,24.72950764,778.059885,1.823913927,56.67666297
LR152,90.33755178,785.5980687,2.082042891,65.25347961
LR153,75.56652669,670.0518586,1.434003829,68.08259962
LR154,136.0196572,1023.76866,2.10346562,74.12176259
LR155,99.254494,817.7557957,2.068403457,63.5519687
LR156,45.61066704,812.3875627,1.842763223,54.41327409
LR157,74.38577087,1009.472318,1.431757618,65.44861266
LR158,119.749628,750.8484523,1.516850705,70.38313324
LR159,119.5620743,802.2002743,1.806818894,71.15584075
LR160,132.3295496,700.4858006,1.49405308,79.98464245
LR161,13.99604987,1170.917179,1.954833398,64.44577299
LR162,163.9099738,1070.069969,1.645206966,74.61042019
LR163,14.25334038,637.8657517,1.885218836,50.96566422
LR164,1.413478924,902.4785669,1.703999529,54.99933655
LR165,66.0931426,649.1871433,1.30788536,57.54189874
LR166,120.4031626,850.5387416,1.44571801,71.33208459
LR167,136.3092231,992.3482713,1.862682591,79.77822113
LR168,45.13749064,1017.986212,1.707038598,65.07303174
LR169,123.9035824,748.5127321,1.846038329,69.69219438
LR170,175.3087943,873.140959,1.806316921,90.52808661
LR171,110.6655249,926.4376867,1.62446875,66.45365174
LR172,45.06732912,882.461446,2.1100029,54.31529211
LR173,118.5990281,831.9985328,2.384294717,76.71446001
LR174,130.4861325,813.7159262,2.136195896,70.50445105
LR175,87.59358468,843.2061914,1.876237808,62.31719424
LR176,131.0212188,829.2321594,2.116407193,72.5401624
LR177,116.7873454,814.0864838,1.78803613,71.95939727
LR178,103.4838024,838.3918236,2.334665312,70.66924453
LR179,160.9086844,1042.478932,1.872514397,83.50005736
LR180,41.36811171,788.3544003,1.892649299,61.47061104
LR181,147.5225759,938.5713944,1.787984845,77.23389758
LR182,6.481670891,797.0809346,1.928214323,52.49272651
LR183,13.91943278,780.1869477,1.483875089,57.57949247
LR184,75.19673093,968.1520774,1.994394941,64.38448246
LR185,52.68046344,687.9082427,2.185331796,58.15511133
