obs_id,r_450,r_475,r_500,r_525,r_550,r_575,r_600,r_625,r_650,r_675,r_700,r_725,r_750,r_775,r_800,r_825,r_850,r_875,r_900,r_925,r_950,chlorophyll,water_fraction
SP0001,0.150918374358,0.154474501755,0.150295727923,0.151442336981,0.154131953667,0.146538825252,0.151346866141,0.155419323128,0.128226233789,0.121532360491,0.203242290519,0.3092917179,0.362220378258,0.363144829813,0.372037394482,0.377418187572,0.378713403794,0.366150062683,0.344882069616,0.298654659087,0.333497678245,21.5334744408,0.899262325305
SP0002,0.14983506431,0.145030337209,0.156901194864,0.153375140367,0.145048564099,0.147038394525,0.15498630556,0.143361066976,0.119650270476,0.100514268378,0.187607339489,0.305441498873,0.362671306779,0.368571150513,0.36889884742,0.371466463157,0.375282893505,0.369574447167,0.33912266923,0.31271491588,0.344194930292,28.6684670222,0.818625685238
SP0003,0.147678175111,0.152174827662,0.152907686515,0.145846104465,0.151829051213,0.150588145848,0.14945104095,0.150982500289,0.127471482973,0.108650521646,0.194664306361,0.307385229129,0.361994598654,0.368595403223,0.370124359825,0.368888968302,0.368662498051,0.36668780986,0.351834629937,0.312533529748,0.330320697958,23.8363222712,0.831269261846
SP0004,0.151745908734,0.142335380252,0.154569436318,0.16011494848,0.14743203116,0.141741491468,0.149957337018,0.135443074114,0.105022362811,0.0641608713256,0.168855379865,0.304310674843,0.355625192586,0.366864479092,0.377066938091,0.373308916528,0.37096292802,0.371806269505,0.349437697518,0.317832989642,0.341366817265,37.5780809271,0.683237196784
SP0005,0.153506709518,0.148975693176,0.146775998245,0.149439227547,0.142627660751,0.153391500667,0.146819198923,0.147630760939,0.104869592265,0.0874679151231,0.178210210565,0.308219082923,0.359361230624,0.378651623749,0.37063812649,0.375335933903,0.375293371743,0.372462497989,0.34870710935,0.30358166035,0.330777269902,31.3153492081,0.878093792019
SP0006,0.151416798318,0.153231939159,0.147248608678,0.149762495261,0.15045911351,0.152262964553,0.152847774474,0.147334102601,0.116483324122,0.0883308941943,0.191972332252,0.305640987981,0.357557127149,0.371036149381,0.371206214638,0.374012142874,0.379160174081,0.378155209095,0.342025789982,0.31216998884,0.337437091499,31.0485311996,0.709494380233
SP0007,0.150460940911,0.155553047819,0.149262434575,0.152957049221,0.146066025982,0.149390316825,0.147404959735,0.149150713916,0.123608371076,0.123868174134,0.199441794056,0.310951817508,0.356650593327,0.366706013112,0.379046314865,0.369457155188,0.377092917582,0.366276526832,0.355454228624,0.319204415991,0.338144856432,23.9074128562,0.710077828985
SP0008,0.149653996023,0.151952991459,0.144003958103,0.163491046637,0.148733480506,0.146816465999,0.151584193873,0.141652089709,0.119265266262,0.100598717841,0.194654930224,0.307921605572,0.351619865347,0.370942111816,0.374652059161,0.379455462902,0.375043284209,0.370595601792,0.346653429022,0.306834947684,0.331614057121,27.1946407256,0.870654142212
SP0009,0.146221883898,0.155533857463,0.152653663522,0.1497415785,0.14676639607,0.157534192454,0.138800258004,0.147148281518,0.124668261351,0.101021435227,0.194512817463,0.308733947576,0.359872381481,0.37495486739,0.374688944029,0.370527028586,0.380331804486,0.370207535208,0.354639258071,0.322675890314,0.342518672213,25.8282793003,0.636919172802
SP0010,0.14269729187,0.155784212932,0.146814732702,0.154297632647,0.146078511861,0.162649330325,0.152037865562,0.131643078957,0.074112407895,0.0221171512788,0.137016245103,0.29566992038,0.351002081488,0.371598068956,0.378254674528,0.375892199881,0.375719722068,0.37753177995,0.352533912991,0.31692792565,0.338489677852,50.4616794281,0.731012884914
SP0011,0.153213506605,0.152008725391,0.144235756532,0.149379266266,0.153344390158,0.148171756514,0.157483608885,0.145040297298,0.127145792103,0.108107770313,0.203528424988,0.307349702273,0.35656624424,0.374991799673,0.372898108203,0.370680024987,0.376106525054,0.374000695378,0.346946304709,0.313351150627,0.327775079326,25.1648230887,0.812600333824
SP0012,0.144630630218,0.151873220867,0.150902183112,0.14546043238,0.151090027262,0.148809228023,0.150059061379,0.151284618914,0.123134223763,0.101270527315,0.199721025134,0.311276035871,0.358538791121,0.375699014414,0.379814967776,0.377462173392,0.371497477986,0.378573125424,0.350315303539,0.325329230791,0.34256058065,25.5546123062,0.634252589407
SP0013,0.148173582859,0.152492007627,0.150115117907,0.154149911066,0.149180330636,0.150731819885,0.145151196333,0.138833708882,0.0839729250627,0.00796111088022,0.119528524749,0.291396264125,0.364579572149,0.369833443395,0.379928745295,0.371068459663,0.374210102316,0.368919965505,0.351162136796,0.315193404882,0.323947487545,53.9941881412,0.879767537478
SP0014,0.150603006072,0.152374878429,0.147625136731,0.150208059055,0.155665226797,0.152890507215,0.157361734087,0.140655687333,0.084764945822,0.0352410692562,0.151408632919,0.309120811473,0.364118803978,0.363155103723,0.376367327643,0.379041406845,0.379740542638,0.373531217127,0.34974037825,0.311100371082,0.346790346226,46.2037200891,0.706570154635
SP0015,0.14628628654,0.156348483798,0.151547949114,0.152695926429,0.157235603652,0.155708650429,0.15727194692,0.13470423496,0.0696471172324,0.00721022624757,0.119143516783,0.298532714286,0.357601307026,0.366796313933,0.370045378572,0.371330059143,0.370136168136,0.375872537198,0.351980878012,0.317315509055,0.332500207142,56.0358942794,0.750476880286
