obs_id,date,month,time_index,temperature
TC001,2014-01-01,1,0,24.2
TC002,2014-02-01,2,1,24.99881703
TC003,2014-03-01,3,2,27.136455
TC004,2014-04-01,4,3,27.85394742
TC005,2014-05-01,5,4,24.48558295
TC006,2014-06-01,6,5,22.60287467
TC007,2014-07-01,7,6,20.13307192
TC008,2014-08-01,8,7,19.29447243
TC009,2014-09-01,9,8,19.93703944
TC010,2014-10-01,10,9,18.51112877
TC011,2014-11-01,11,10,22.36000032
TC012,2014-12-01,12,11,23.94385896
TC013,2015-01-01,1,12,25.85833004
TC014,2015-02-01,2,13,26.2927516
TC015,2015-03-01,3,14,26.30073745
TC016,2015-04-01,4,15,26.44406578
TC017,2015-05-01,5,16,27.17590208
TC018,2015-06-01,6,17,24.45300956
TC019,2015-07-01,7,18,24.12675393
TC020,2015-08-01,8,19,21.51398078
TC021,2015-09-01,9,20,21.31523463
TC022,2015-10-01,10,21,19.37095897
TC023,2015-11-01,11,22,22.64388459
TC024,2015-12-01,12,23,25.07748998
TC025,2016-01-01,1,24,26.65574995
TC026,2016-02-01,2,25,28.46770799
TC027,2016-03-01,3,26,26.77249639
TC028,2016-04-01,4,27,26.19969289
TC029,2016-05-01,5,28,27.27361456
TC030,2016-06-01,6,29,23.87181594
TC031,2016-07-01,7,30,22.69363657
TC032,2016-08-01,8,31,21.21451373
TC033,2016-09-01,9,32,21.42634331
TC034,2016-10-01,10,33,21.70279688
TC035,2016-11-01,11,34,20.93887447
TC036,2016-12-01,12,35,22.47128701
TC037,2017-01-01,1,36,22.89824358
TC038,2017-02-01,2,37,24.1924914
TC039,2017-03-01,3,38,26.49541326
TC040,2017-04-01,4,39,26.66744446
TC041,2017-05-01,5,40,24.16728937
TC042,2017-06-01,6,41,24.24739692
TC043,2017-07-01,7,42,20.71695603
TC044,2017-08-01,8,43,18.73874288
TC045,2017-09-01,9,44,19.06131717
TC046,2017-10-01,10,45,20.20418324
TC047,2017-11-01,11,46,21.62146944
TC048,2017-12-01,12,47,24.19571295
TC049,2018-01-01,1,48,27.89970131
TC050,2018-02-01,2,49,28.16809108
TC051,2018-03-01,3,50,27.7037311
TC052,2018-04-01,4,51,27.80503668
TC053,2018-05-01,5,52,29.01148709
TC054,2018-06-01,6,53,27.68266108
TC055,2018-07-01,7,54,26.1540778
TC056,2018-08-01,8,55,22.7339298
