function_name,change_type,0.9.0_status,1.0.0_status,details
smf_ale,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_api_catalog,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_apply_calibration,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_apply_imbalance,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_apply_preprocessor,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_apply_representation,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_audit_data,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_autoencoder,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_available_model_adapters,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_backend_capabilities,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_backend_matrix,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_backend_object,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bart_fit,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bart_predict,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_batch_predict,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayes_compare,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayes_diagnose,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayes_diagnostic_flags,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayes_draws,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayes_epred,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayes_fit,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayes_loo,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayes_pp_check,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayes_predict,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayes_prior,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayes_prior_predictive,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayes_stacking,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayes_summary,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bayesian_spec,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_benchmark,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_benchmark_spec,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_blocked_cv,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bootstrap,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bootstrap_interval,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bootstrap_spec,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bootstrap_stability,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_build_representation,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_bundle_info,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_calibrate,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
smf_calibration_report,unchanged,release_candidate,stable_1x,No blocker-driven public signature change at initialization of 1.0.0.
