function_name,category,status,api_freeze,source_file,signature_prefix
smf_ale,explainability,release_candidate,0.9.0,explain.R,"smf_ale (result, data, features=character(), bins=20L, class=NULL) {"
smf_api_catalog,core,release_candidate,0.9.0,release-candidate.R,smf_api_catalog () {
smf_apply_calibration,modeling,release_candidate,0.9.0,calibration.R,"smf_apply_calibration (calibration,probabilities) {"
smf_apply_imbalance,modeling,release_candidate,0.9.0,imbalance.R,"smf_apply_imbalance (data,outcome,spec=smf_imbalance_spec(),context=c(""analysis"",""training"",""assessment"",""test""),seed=260915L) {"
smf_apply_preprocessor,core,release_candidate,0.9.0,preprocess.R,"smf_apply_preprocessor (preprocessor, data) {"
smf_apply_representation,resampling-features,release_candidate,0.9.0,features-core.R,"smf_apply_representation (result, newdata) {"
smf_audit_data,data-design,release_candidate,0.9.0,data-audit.R,"smf_audit_data (data, spec, design=NULL) {"
smf_autoencoder,core,release_candidate,0.9.0,deep-learning-core.R,"smf_autoencoder (input_dim, latent_dim=8L, hidden=c(64L,32L)) {"
smf_available_model_adapters,modeling,release_candidate,0.9.0,model-adapters.R,smf_available_model_adapters () {
smf_backend_capabilities,core,release_candidate,0.9.0,core-capabilities.R,smf_backend_capabilities (name) {
smf_backend_matrix,core,release_candidate,0.9.0,release-candidate.R,smf_backend_matrix () {
smf_backend_object,core,release_candidate,0.9.0,experiment.R,smf_backend_object (result) {
smf_bart_fit,modeling,release_candidate,0.9.0,bayesian-adapters.R,"smf_bart_fit (x, y, task=c(""regression"",""binary""), ndpost=1000L, nskip=500L, ntree=200L, seed=260917L, ...) {"
smf_bart_predict,modeling,release_candidate,0.9.0,bayesian-adapters.R,"smf_bart_predict (fit, new_data) {"
smf_batch_predict,modeling,release_candidate,0.9.0,scalability.R,"smf_batch_predict (object, new_data, batch_size=1000L, workers=1L, strict_schema=TRUE,"
smf_bayes_compare,inference-uncertainty,release_candidate,0.9.0,bayesian-core.R,smf_bayes_compare (...) {
smf_bayes_diagnose,inference-uncertainty,release_candidate,0.9.0,bayesian-core.R,"smf_bayes_diagnose (fit, rhat_max=1.01, min_ess=400L) {"
smf_bayes_diagnostic_flags,inference-uncertainty,release_candidate,0.9.0,bayesian-core.R,"smf_bayes_diagnostic_flags (summary, divergences=0L, rhat_max=1.01, min_ess=400L) {"
smf_bayes_draws,inference-uncertainty,release_candidate,0.9.0,bayesian-core.R,"smf_bayes_draws (fit, variables=NULL, format=c(""matrix"",""posterior"")) {"
