dataset,sha256,known_truth_present,card_present,release_status
gold_linear_regression,c970ec3fd4c8ae84aea857b6b01acbba9e48653b433e608ba924e2f481f51fc0,true,true,frozen-for-1.0.0
gold_heteroscedastic_regression,d58c668a556c964f105dc2ac8514fa9bb34089d9d52095b9568a6ec5d2791987,true,true,frozen-for-1.0.0
gold_binary_calibration,ab56b19a9352064e82c85d3b2bfc57c77a0486c3fc6ff665ac0b7dcfc7b98a90,true,true,frozen-for-1.0.0
gold_multiclass_imbalanced,ec0fff66e3da8341c5595a2cd8d28e0c1921371ba54e27cc02d49038563fcc09,true,true,frozen-for-1.0.0
gold_grouped_fields,9a40d20dcb4fdf0f75ebc6c9377e326ec3e79314a3d44eb2f2f95b7ba7979418,true,true,frozen-for-1.0.0
gold_hierarchical_yield,729bb8a97668cbf1b5b4ea68cec34ea3ea699c07fbeb996abd6478a68263aeab,true,true,frozen-for-1.0.0
gold_time_climate,84f8556151685f6deafed617f58349f714205a7c1b78f08d76b1cd746daf3804,true,true,frozen-for-1.0.0
gold_spatial_soil,f22d48e19af454e86fcc822fd6bd16bc3ebb0eab60b537a8818c58da7104ff71,true,true,frozen-for-1.0.0
gold_spectral_curve,2917d042f51e0694bf7989089b94c4a0b1ff5853821501b7ecd60a39ca730b0f,true,true,frozen-for-1.0.0
gold_hyperspectral_small,a8686bfe610025f72669166a1d31c227f7cb5b44245dfdb9bd5343cefff5e131,true,true,frozen-for-1.0.0
gold_rgb_leaf_small,de0353332075db87806bd8b940fad507e168ffcfe3dbf27b0424bc739985df52,true,true,frozen-for-1.0.0
gold_multimodal_stress,d3fb60d88d93337d1b7fe1419a25e4cc1f9759e4348a588d82b30373d3cd913c,true,true,frozen-for-1.0.0
gold_count_pests,b40cddfc9664d8b7fed3634c62208436c9689ce93b99edf9b3e69267680c3546,true,true,frozen-for-1.0.0
gold_nonlinear_bart,6d688d2a798ecc2df3a42fa92e5087f3385cf34fd9446524f0408098ca23fe64,true,true,frozen-for-1.0.0
gold_gp_surface,42730c8b89655d6f51d8c445235e52c61da877e257a2433c045e22e96764f1ec,true,true,frozen-for-1.0.0
gold_distributional_yield,58cedbc560b214ec2e0da4347f463cc3ebfe0058c913d3c8353cd9f038156edc,true,true,frozen-for-1.0.0
gold_covariate_shift,277f00142c9bac89d91d23fd2e60effb3114693109c23cc0403b87fd7efda79b,true,true,frozen-for-1.0.0
gold_missingness_mcar_mar,d5f79aba0f0e766aab3171961c496d796ab42f504c97985b50d4a41d45700161,true,true,frozen-for-1.0.0
gold_conformal_heteroscedastic,054d016e4ae7a8980715473821e0893a3769d1571cffcaf0f539f9add916fba3,true,true,frozen-for-1.0.0
gold_dl_tiny,d3d5d6a9c4b9e77fbd62c5e68d0c0db4c8f9f4bd68bd6e448dd66511a5a1aaed,true,true,frozen-for-1.0.0
gold_xai_stability,021c090612dc929662bb514ef162239548d1664d8d7c836a414398fcd813fd8a,true,true,frozen-for-1.0.0
gold_dl_nonlinear,cc8a80c926b38d4a09309cd131e773b8efaca437cdec0af1be89c9b4604559ce,true,true,frozen-for-1.0.0
gold_dl_sequence,0320d3c5ffb0e872cdee1b24556f25b7e0e36f947154d5707dccbf6921b8356e,true,true,frozen-for-1.0.0
gold_bayesian_linear,0df9b4717f0f949fabaa212d3ec49691369087f4a3d824e724737f9856f7d897,true,true,frozen-for-1.0.0
gold_conformal_regression,d9778000daf979a36fd17efa2d6a79501b6045934cd35ae300e4acd06afe77ca,true,true,frozen-for-1.0.0
